arquivo,destino,nota
.claude/plans/2026-09-15-ampliacao-municipal-controles.md,P4,os sete planos da cartografia
.claude/plans/2026-09-15-cartografia-guanabara-1960.md,P4,os sete planos da cartografia
.claude/plans/2026-09-15-cobertura-alinhamento-v8.md,P4,os sete planos da cartografia
.claude/plans/2026-09-15-correcao-cartografia-v7.md,P4,os sete planos da cartografia
.claude/plans/2026-09-15-revisao-integral-v9.md,P4,os sete planos da cartografia
.claude/plans/2026-09-15-tracado-municipal-v6.md,P4,os sete planos da cartografia
.claude/plans/2026-09-15-tracado-oeste-v5.md,P4,os sete planos da cartografia
.claude/plans/2026-09-16-geo-cols-por-edicao.md,P1,
.claude/plans/2026-09-16-microdados-2022-p0115.md,P1,
.claude/plans/2026-09-16-reconstrucao-v10.md,P4,
.claude/plans/2026-09-18-artigo-censo-1960.md,P2,
.claude/plans/2026-09-19-artigo-censo-1960-reframe.md,P2,
.claude/plans/2026-09-20-historia-censo-1960.md,P3,
.claude/plans/2026-09-20-migracao-intraurbana-1960.md,P2,
.claude/plans/2026-09-21_revisao_desenho_amostral_1960.md,P1,
.claude/plans/2026-09-21_separacao_em_quatro_projetos.md,P1,
data_raw/cartografia_1960_estudo/df_contorno.geojson,P2,escritos pelos scripts de migracao -> data/ de P2
data_raw/cartografia_1960_estudo/df_contorno.gpkg,P2,escritos pelos scripts de migracao -> data/ de P2
data_raw/cartografia_1960_estudo/df_nucleos_urbanos_1970.geojson,P2,escritos pelos scripts de migracao -> data/ de P2
data_raw/cartografia_1960_estudo/gb_macrozonas_1960.gpkg,P2,escritos pelos scripts de migracao -> data/ de P2
data_raw/cartografia_1960_estudo/gb_zonas_1960.gpkg,P2,escritos pelos scripts de migracao -> data/ de P2
data_raw/cartografia_1960_estudo/sp_subdistritos_1960.gpkg,P2,escritos pelos scripts de migracao -> data/ de P2
data_raw/cartografia_guanabara_1960/apoio_geografico/imaginerio_1942/14_6210_7118.png,P4,dados -> data/ de P4
data_raw/cartografia_guanabara_1960/apoio_geografico/imaginerio_1942/14_6210_7119.png,P4,dados -> data/ de P4
data_raw/cartografia_guanabara_1960/apoio_geografico/imaginerio_1942/14_6210_7120.png,P4,dados -> data/ de P4
data_raw/cartografia_guanabara_1960/apoio_geografico/imaginerio_1942/14_6210_7121.png,P4,dados -> data/ de P4
data_raw/cartografia_guanabara_1960/apoio_geografico/imaginerio_1942/14_6210_7122.png,P4,dados -> data/ de P4
data_raw/cartografia_guanabara_1960/apoio_geografico/imaginerio_1942/14_6210_7123.png,P4,dados -> data/ de P4
data_raw/cartografia_guanabara_1960/apoio_geografico/imaginerio_1942/14_6210_7124.png,P4,dados -> data/ de P4
data_raw/cartografia_guanabara_1960/apoio_geografico/imaginerio_1942/14_6210_7125.png,P4,dados -> data/ de P4
data_raw/cartografia_guanabara_1960/apoio_geografico/imaginerio_1942/14_6211_7118.png,P4,dados -> data/ de P4
data_raw/cartografia_guanabara_1960/apoio_geografico/imaginerio_1942/14_6211_7119.png,P4,dados -> data/ de P4
data_raw/cartografia_guanabara_1960/apoio_geografico/imaginerio_1942/14_6211_7120.png,P4,dados -> data/ de P4
