variavel,codigo,rotulo,fonte
V101,1,"Família única no domicílio particular",Boletim de Amostra CD 2 (quadro A) e dicionário de 2018
V101,2,"Família principal de domicílio particular com mais de uma família",Boletim de Amostra CD 2 (quadro A) e dicionário de 2018
V101,3,"Grupo residindo em domicílio coletivo",Boletim de Amostra CD 2 (quadro A) e dicionário de 2018
V101,4,"Segunda família (convivente) do domicílio particular",dicionário de 2018
V101,5,"Terceira família (convivente) do domicílio particular",dicionário de 2018
V102,4,"Tipo do domicílio: durável",Boletim de Amostra CD 2 (quadro B; código 4)
V102,5,"Tipo do domicílio: rústico",Boletim de Amostra CD 2 (quadro B; código 5)
V102,6,"Tipo do domicílio: improvisado",Boletim de Amostra CD 2 (quadro B; código 6)
V103,7,"Condição de ocupação: próprio",Boletim de Amostra CD 2 (quadro C; código 7)
V103,8,"Condição de ocupação: alugado",Boletim de Amostra CD 2 (quadro C; código 8)
V103,9,"Condição de ocupação: outra",Boletim de Amostra CD 2 (quadro C; código 9)
V104,0,"Aluguel mensal: até Cr$ 500",Boletim de Amostra CD 2 (quadro D; código 10)
V104,1,"Aluguel mensal: Cr$ 501 a 1 000",Boletim de Amostra CD 2 (quadro D; código 11)
V104,2,"Aluguel mensal: Cr$ 1 001 a 2 000",Boletim de Amostra CD 2 (quadro D; código 12)
V104,3,"Aluguel mensal: Cr$ 2 001 a 4 000",Boletim de Amostra CD 2 (quadro D; código 13)
V104,4,"Aluguel mensal: Cr$ 4 001 a 6 000",Boletim de Amostra CD 2 (quadro D; código 14)
V104,5,"Aluguel mensal: Cr$ 6 001 a 10 000",Boletim de Amostra CD 2 (quadro D; código 15)
V104,6,"Aluguel mensal: Cr$ 10 001 a 20 000",Boletim de Amostra CD 2 (quadro D; código 16)
V104,7,"Aluguel mensal: Cr$ 20 001 e mais",Boletim de Amostra CD 2 (quadro D; código 17)
V104,8,"Não paga aluguel",Boletim de Amostra CD 2 (quadro D; código 18)
V105,9,"Água: rede geral, com canalização interna",Boletim de Amostra CD 2 (quadro E; código 19)
V105,0,"Água: rede geral, com canalização externa",Boletim de Amostra CD 2 (quadro E; código 20)
V105,1,"Água: poço ou nascente, com canalização",Boletim de Amostra CD 2 (quadro E; código 21)
V105,2,"Água: poço ou nascente, sem canalização",Boletim de Amostra CD 2 (quadro E; código 22)
V105,3,"Água: outra forma de abastecimento",Boletim de Amostra CD 2 (quadro E; código 23)
V106,4,"Instalação sanitária: rede de esgoto",Boletim de Amostra CD 2 (quadro F; código 24)
V106,5,"Instalação sanitária: fossa séptica",Boletim de Amostra CD 2 (quadro F; código 25)
V106,6,"Instalação sanitária: fossa rudimentar",Boletim de Amostra CD 2 (quadro F; código 26)
V106,7,"Instalação sanitária: outro escoadouro",Boletim de Amostra CD 2 (quadro F; código 27)
V106,8,"Instalação sanitária: não tem",Boletim de Amostra CD 2 (quadro F; código 28)
V107,9,"Fogão: lenha",Boletim de Amostra CD 2 (quadro G; código 29)
V107,0,"Fogão: carvão",Boletim de Amostra CD 2 (quadro G; código 30)
V107,1,"Fogão: elétrico",Boletim de Amostra CD 2 (quadro G; código 31)
V107,2,"Fogão: gás",Boletim de Amostra CD 2 (quadro G; código 32)
V107,3,"Fogão: óleo ou querosene",Boletim de Amostra CD 2 (quadro G; código 33)
V107,4,"Fogão: não tem",Boletim de Amostra CD 2 (quadro G; código 34)
V108,5,"Iluminação elétrica: tem",Boletim de Amostra CD 2 (quadro H; código 35)
V108,6,"Iluminação elétrica: não tem",Boletim de Amostra CD 2 (quadro H; código 36)
V109,7,"Rádio: tem",Boletim de Amostra CD 2 (quadro I; código 37)
V109,8,"Rádio: não tem",Boletim de Amostra CD 2 (quadro I; código 38)
V110,9,"Geladeira: tem",Boletim de Amostra CD 2 (quadro J; código 39)
V110,0,"Geladeira: não tem",Boletim de Amostra CD 2 (quadro J; código 40)
V111,1,"Televisão: tem",Boletim de Amostra CD 2 (quadro L; código 41)
V111,2,"Televisão: não tem",Boletim de Amostra CD 2 (quadro L; código 42)
V118,1,"Situação do domicílio: quadro urbano",Resultados Preliminares 1965 (urbana = quadros urbano e suburbano) e distribuição dos dados
V118,3,"Situação do domicílio: quadro suburbano",Resultados Preliminares 1965 e distribuição dos dados
V118,5,"Situação do domicílio: quadro rural",Resultados Preliminares 1965 e distribuição dos dados
V202,1,"Homem, morador presente",Boletim de Amostra CD 2 (quesito B)
V202,2,"Mulher, moradora presente",Boletim de Amostra CD 2 (quesito B)
V202,3,"Homem, morador ausente",Boletim de Amostra CD 2 (quesito B)
V202,4,"Mulher, moradora ausente",Boletim de Amostra CD 2 (quesito B)
V202,5,"Homem, não morador presente",Boletim de Amostra CD 2 (quesito B)
V202,6,"Mulher, não moradora presente",Boletim de Amostra CD 2 (quesito B)
V203,7,"Chefe",Boletim de Amostra CD 2 (quesito C; código 7)
V203,8,"Cônjuge",Boletim de Amostra CD 2 (quesito C; código 8)
V203,9,"Filho ou enteado",Boletim de Amostra CD 2 (quesito C; código 9)
V203,0,"Neto",Boletim de Amostra CD 2 (quesito C; código 10)
V203,1,"Pais e sogros",Boletim de Amostra CD 2 (quesito C; código 11)
V203,2,"Outros parentes",Boletim de Amostra CD 2 (quesito C; código 12)
V203,3,"Agregado",Boletim de Amostra CD 2 (quesito C; código 13)
V203,4,"Hóspede ou empregado",Boletim de Amostra CD 2 (quesito C; código 14)
V204,0,"Idade em meses (menor de 1 ano)",Boletim de Amostra CD 2 (quesito D) e dicionário de 2018
V204,1,"Idade em anos completos",dicionário de 2018
V204,5,"Idade acima de 99 anos (V204B = idade menos 100)",dicionário de 2018
V204,9,"Idade ignorada",dicionário de 2018
V205,5,"Religião: católica romana",Boletim de Amostra CD 2 (quesito E; código 15)
V205,6,"Religião: protestante",Boletim de Amostra CD 2 (quesito E; código 16)
V205,7,"Religião: espírita",Boletim de Amostra CD 2 (quesito E; código 17)
V205,8,"Religião: budista",Boletim de Amostra CD 2 (quesito E; código 18)
V205,9,"Religião: israelita",Boletim de Amostra CD 2 (quesito E; código 19)
V205,0,"Religião: ortodoxa",Boletim de Amostra CD 2 (quesito E; código 20)
V205,1,"Religião: maometana",Boletim de Amostra CD 2 (quesito E; código 21)
V205,2,"Religião: outra",Boletim de Amostra CD 2 (quesito E; código 22)
V205,3,"Sem religião",Boletim de Amostra CD 2 (quesito E; código 23)
V206,4,"Cor: branca",Boletim de Amostra CD 2 (quesito F; código 24)
V206,5,"Cor: preta",Boletim de Amostra CD 2 (quesito F; código 25)
V206,6,"Cor: amarela",Boletim de Amostra CD 2 (quesito F; código 26)
V206,7,"Cor: parda",Boletim de Amostra CD 2 (quesito F; código 27)
V206,8,"Cor: índia",Boletim de Amostra CD 2 (quesito F; código 28)
V208,9,"Nacionalidade: brasileiro nato",Boletim de Amostra CD 2 (quesito H; código 29)
V208,0,"Nacionalidade: naturalizado brasileiro",Boletim de Amostra CD 2 (quesito H; código 30)
V208,1,"Nacionalidade: estrangeiro",Boletim de Amostra CD 2 (quesito H; código 31)
V211,0,"Sabe ler e escrever; está frequentando escola",Boletim de Amostra CD 2 (quesito L; código 40)
V211,1,"Sabe ler e escrever; não está frequentando escola",Boletim de Amostra CD 2 (quesito L; código 41)
V211,2,"Não sabe ler e escrever; está frequentando escola",Boletim de Amostra CD 2 (quesito L; código 42)
V211,3,"Não sabe ler e escrever; não está frequentando escola",Boletim de Amostra CD 2 (quesito L; código 43)
V213,2,"Grau do curso: elementar",Boletim de Amostra CD 2 (quesito N; código 52)
V213,3,"Grau do curso: médio 1º ciclo",Boletim de Amostra CD 2 (quesito N; código 53)
V213,4,"Grau do curso: médio 2º ciclo",Boletim de Amostra CD 2 (quesito N; código 54)
V213,5,"Grau do curso: superior",Boletim de Amostra CD 2 (quesito N; código 55)
V215,6,"Vive com cônjuge: casamento civil e religioso",Boletim de Amostra CD 2 (quesito P; código 56)
V215,7,"Vive com cônjuge: somente casamento civil",Boletim de Amostra CD 2 (quesito P; código 57)
V215,8,"Vive com cônjuge: somente casamento religioso",Boletim de Amostra CD 2 (quesito P; código 58)
V215,9,"Vive com cônjuge: outra (união sem casamento civil nem religioso)",Boletim de Amostra CD 2 (quesito P; código 59)
V215,0,"Não vive com cônjuge: solteiro",Boletim de Amostra CD 2 (quesito P; código 60)
V215,1,"Não vive com cônjuge: separado",Boletim de Amostra CD 2 (quesito P; código 61)
V215,2,"Não vive com cônjuge: desquitado",Boletim de Amostra CD 2 (quesito P; código 62)
V215,3,"Não vive com cônjuge: divorciado",Boletim de Amostra CD 2 (quesito P; código 63)
V215,4,"Não vive com cônjuge: viúvo",Boletim de Amostra CD 2 (quesito P; código 64)
V216,00,"Não vive em companhia de cônjuge",Boletim de Amostra CD 2 (quesito Q) e Instruções ao Recenseador p. 31
V216,01-60,"Ano do casamento ou da união, dois últimos dígitos (1901 a 1960)",Boletim de Amostra CD 2 (quesito Q) e Instruções ao Recenseador p. 31
V216,61-99,"Código especial de processamento; 63 (5.690 registros de todas as idades) é ignorado; 61, 62 e 99 não são anos",distribuição dos dados; o dicionário de 2018 lia como 1861 a 1899, o que é impossível para o 63
V217,00,"Não teve filhos",Boletim de Amostra CD 2 (quesito R)
V217,99,"Ignorado",dicionário de 2018
V218,00,"Nenhum filho vivo",Boletim de Amostra CD 2 (quesito S)
V218,99,"Ignorado",dicionário de 2018
V219,5,"Rendimento mensal: até Cr$ 2 100",Boletim de Amostra CD 2 (quesito T; código 65)
V219,6,"Rendimento mensal: Cr$ 2 101 a 3 300",Boletim de Amostra CD 2 (quesito T; código 66)
V219,7,"Rendimento mensal: Cr$ 3 301 a 4 500",Boletim de Amostra CD 2 (quesito T; código 67)
