"linha","tipo_registro","decisao","texto_original","texto_corrigido","explicacao"
9817,"2","valor_isolado","02024301021102572117128571""912183110085404048352425156\0001403","","2018: um ou poucos valores fora do dicionário, o resto do registro é coerente; esses valores viram NA."
142402,"3","valor_isolado","14164101152 00673519104570792000-                     \0021501","","2018: um ou poucos valores fora do dicionário, o resto do registro é coerente; esses valores viram NA."
162537,"3","valor_isolado","17180603174940273329105532392000311-                  \0024733","","2018: um ou poucos valores fora do dicionário, o resto do registro é coerente; esses valores viram NA."
194609,"2","recuperada","   \212135072103211531 291 08542092000052-             0029831","21213507210321153129108542092000052-                  \0032581","2026: a linha começa com três brancos e uma barra e tem dois brancos a mais; tirando-os, é uma filha de 8 anos com todos os campos válidos, do questionário 0721032115 — a família ID 32581, 15.594 linhas adiante. Reatribuída a ela."
199113,"3","reparo","2121190121536143352812554209142031 100953000034-       0030734","2121190121536143352812554209142031100953000034-       \0030734","2018: espaços a mais entre dígitos removidos e comprimento recomposto (del_space_between=1; insert_space_end=0; insert_bar= 1;insert_pos=54)."
199617,"3","reparo","2121190121536245352911 857 209200014200000000034-      0030823","2121190121536245352911857209200014200000000034-       \0030823","2018: espaços a mais entre dígitos removidos e comprimento recomposto (del_space_between=2; insert_space_end=1; insert_bar= 1;insert_pos=53)."
210205,"3","reparo","212135072103211531 2813554209200016440648060503191281550032581","212135072103211531281355420920001644064806050319128155\0032581","2018: espaços a mais entre dígitos removidos e comprimento recomposto (del_space_between=1; insert_space_end=0; insert_bar= 1;insert_pos=54)."
"224345","2","reparo_fonte25","212138052189801725171255720R20003110095702025332321176\0035191","212138052189801725171255720920003110095702025332321176\0035191","Campo danificado recuperado na fonte de 25%, com correspondencia do grupo familiar conferida. Preservar todos os outros caracteres. Campos: V208. Evidencia literal e localizadores: read_guides/1960_amostra_127_reparos_fonte25.json, linha127=224345."
"228629","3","reparo_fonte25","212144012199206635281605420 200031100625000034-       \0035911","2121440121992066352816054209200031100625000034-       \0035911","Campo danificado recuperado na fonte de 25%, com correspondencia do grupo familiar conferida. Preservar todos os outros caracteres. Campos: V208. Evidencia literal e localizadores: read_guides/1960_amostra_127_reparos_fonte25.json, linha127=228629."
238422,"1","valor_isolado","212166X722366154151478384680205003                    \0037520","","2018: um ou poucos valores fora do dicionário, o resto do registro é coerente; esses valores viram NA."
