"grupo","linha","acao","n_antes","n_manter","texto_original","texto_corrigido","fonte_25","linhas_25","justificativa"
"19_19082_3_linha165070","165070","manter","2","1","191924011908200333281396418919181821074001017325727115\0025161","191924011908200333281396418919181821074001017325727115\0025161","data/release_legacy/Censo.1960.amostra.25porcento.pb.gz","54649","Grupo integral identico em 127; multiplicidade conferida no gzip25, cartao unico, v100 e ordens consistentes; manter representantes de menor linha sem identidade civil."
"19_19082_3_linha165070","165072","remover","2","1","191924011908200333281396418919181821074001017325727115\0025161","191924011908200333281396418919181821074001017325727115\0025161","data/release_legacy/Censo.1960.amostra.25porcento.pb.gz","54649","Grupo integral identico em 127; multiplicidade conferida no gzip25, cartao unico, v100 e ordens consistentes; manter representantes de menor linha sem identidade civil."
"19_19124_166_linha168802","168802","manter","2","2","1919250719124166352999957189200031100000000034-       \0025763","1919250719124166352999957189200031100000000034-       \0025763","data/release_legacy/Censo.1960.amostra.25porcento.pb.gz","84598;84599","Grupo integral identico em 127; multiplicidade conferida no gzip25, cartao unico, v100 e ordens consistentes; manter representantes de menor linha sem identidade civil."
"19_19124_166_linha168802","168805","manter","2","2","1919250719124166352999957189200031100000000034-       \0025763","1919250719124166352999957189200031100000000034-       \0025763","data/release_legacy/Censo.1960.amostra.25porcento.pb.gz","84598;84599","Grupo integral identico em 127; multiplicidade conferida no gzip25, cartao unico, v100 e ordens consistentes; manter representantes de menor linha sem identidade civil."
"19_19124_166_linha168804","168804","manter","2","2","191925071912416635199995718920003110000000003332321200\0025763","191925071912416635199995718920003110000000003332321200\0025763","data/release_legacy/Censo.1960.amostra.25porcento.pb.gz","84596;84597","Grupo integral identico em 127; multiplicidade conferida no gzip25, cartao unico, v100 e ordens consistentes; manter representantes de menor linha sem identidade civil."
"19_19124_166_linha168804","168806","manter","2","2","191925071912416635199995718920003110000000003332321200\0025763","191925071912416635199995718920003110000000003332321200\0025763","data/release_legacy/Censo.1960.amostra.25porcento.pb.gz","84596;84597","Grupo integral identico em 127; multiplicidade conferida no gzip25, cartao unico, v100 e ordens consistentes; manter representantes de menor linha sem identidade civil."
"21_21438_1_linha194612","194612","manter","2","1","2121130521438001352816057209132031100738020134-       \0029837","2121130521438001352816057209132031100738020134-       \0029837","data/release_legacy/Censo.1960.amostra.25porcento.pe.gz","37836","Grupo integral identico em 127; multiplicidade conferida no gzip25, cartao unico, v100 e ordens consistentes; manter representantes de menor linha sem identidade civil."
"21_21438_1_linha194612","194614","remover","2","1","2121130521438001352816057209132031100738020134-       \0029837","2121130521438001352816057209132031100738020134-       \0029837","data/release_legacy/Censo.1960.amostra.25porcento.pe.gz","37836","Grupo integral identico em 127; multiplicidade conferida no gzip25, cartao unico, v100 e ordens consistentes; manter representantes de menor linha sem identidade civil."
"21_21438_2_linha194620","194620","manter","2","1","21211305214380023519103572092000-                     \0029839","21211305214380023519103572092000-                     \0029839","data/release_legacy/Censo.1960.amostra.25porcento.pe.gz","37842","Grupo integral identico em 127; multiplicidade conferida no gzip25, cartao unico, v100 e ordens consistentes; manter representantes de menor linha sem identidade civil."
"21_21438_2_linha194620","194623","remover","2","1","21211305214380023519103572092000-                     \0029839","21211305214380023519103572092000-                     \0029839","data/release_legacy/Censo.1960.amostra.25porcento.pe.gz","37842","Grupo integral identico em 127; multiplicidade conferida no gzip25, cartao unico, v100 e ordens consistentes; manter representantes de menor linha sem identidade civil."
"21_21438_2_linha194619","194619","manter","2","1","2121130521438002351911457209200031100000000031-       \0029839","2121130521438002351911457209200031100000000031-       \0029839","data/release_legacy/Censo.1960.amostra.25porcento.pe.gz","37841","Grupo integral identico em 127; multiplicidade conferida no gzip25, cartao unico, v100 e ordens consistentes; manter representantes de menor linha sem identidade civil."
"21_21438_2_linha194619","194624","remover","2","1","2121130521438002351911457209200031100000000031-       \0029839","2121130521438002351911457209200031100000000031-       \0029839","data/release_legacy/Censo.1960.amostra.25porcento.pe.gz","37841","Grupo integral identico em 127; multiplicidade conferida no gzip25, cartao unico, v100 e ordens consistentes; manter representantes de menor linha sem identidade civil."
"21_21438_2_linha194618","194618","manter","2","1","2121130521438002352812654209200031100954040434-       \0029839","2121130521438002352812654209200031100954040434-       \0029839","data/release_legacy/Censo.1960.amostra.25porcento.pe.gz","37840","Grupo integral identico em 127; multiplicidade conferida no gzip25, cartao unico, v100 e ordens consistentes; manter representantes de menor linha sem identidade civil."
"21_21438_2_linha194618","194625","remover","2","1","2121130521438002352812654209200031100954040434-       \0029839","2121130521438002352812654209200031100954040434-       \0029839","data/release_legacy/Censo.1960.amostra.25porcento.pe.gz","37840","Grupo integral identico em 127; multiplicidade conferida no gzip25, cartao unico, v100 e ordens consistentes; manter representantes de menor linha sem identidade civil."
"21_21438_2_linha194622","194622","manter","2","1","21211305214380023529001572092000-                     \0029839","21211305214380023529001572092000-                     \0029839","data/release_legacy/Censo.1960.amostra.25porcento.pe.gz","37844","Grupo integral identico em 127; multiplicidade conferida no gzip25, cartao unico, v100 e ordens consistentes; manter representantes de menor linha sem identidade civil."
"21_21438_2_linha194622","194626","remover","2","1","21211305214380023529001572092000-                     \0029839","21211305214380023529001572092000-                     \0029839","data/release_legacy/Censo.1960.amostra.25porcento.pe.gz","37844","Grupo integral identico em 127; multiplicidade conferida no gzip25, cartao unico, v100 e ordens consistentes; manter representantes de menor linha sem identidade civil."
"21_21438_2_linha194621","194621","manter","2","1","21211305214380023519101572092000-                     \0029839","21211305214380023519101572092000-                     \0029839","data/release_legacy/Censo.1960.amostra.25porcento.pe.gz","37843","Grupo integral identico em 127; multiplicidade conferida no gzip25, cartao unico, v100 e ordens consistentes; manter representantes de menor linha sem identidade civil."
"21_21438_2_linha194621","194627","remover","2","1","21211305214380023519101572092000-                     \0029839","21211305214380023519101572092000-                     \0029839","data/release_legacy/Censo.1960.amostra.25porcento.pe.gz","37843","Grupo integral identico em 127; multiplicidade conferida no gzip25, cartao unico, v100 e ordens consistentes; manter representantes de menor linha sem identidade civil."
"21_21438_3_linha194630","194630","manter","2","1","21211305214380033519106542092000311-                  \0029841","21211305214380033519106542092000311-                  \0029841","data/release_legacy/Censo.1960.amostra.25porcento.pe.gz","37848","Grupo integral identico em 127; multiplicidade conferida no gzip25, cartao unico, v100 e ordens consistentes; manter representantes de menor linha sem identidade civil."
"21_21438_3_linha194630","194639","remover","2","1","21211305214380033519106542092000311-                  \0029841","21211305214380033519106542092000311-                  \0029841","data/release_legacy/Censo.1960.amostra.25porcento.pe.gz","37848","Grupo integral identico em 127; multiplicidade conferida no gzip25, cartao unico, v100 e ordens consistentes; manter representantes de menor linha sem identidade civil."
"21_21438_3_linha194631","194631","manter","2","1","2121130521438003352812554209200031100950040434-       \0029841","2121130521438003352812554209200031100950040434-       \0029841","data/release_legacy/Censo.1960.amostra.25porcento.pe.gz","37847","Grupo integral identico em 127; multiplicidade conferida no gzip25, cartao unico, v100 e ordens consistentes; manter representantes de menor linha sem identidade civil."
"21_21438_3_linha194631","194640","remover","2","1","2121130521438003352812554209200031100950040434-       \0029841","2121130521438003352812554209200031100950040434-       \0029841","data/release_legacy/Censo.1960.amostra.25porcento.pe.gz","37847","Grupo integral identico em 127; multiplicidade conferida no gzip25, cartao unico, v100 e ordens consistentes; manter representantes de menor linha sem identidade civil."
"21_21438_3_linha194634","194634","manter","2","1","21211305214380033519009542092000-                     \0029841","21211305214380033519009542092000-                     \0029841","data/release_legacy/Censo.1960.amostra.25porcento.pe.gz","37851","Grupo integral identico em 127; multiplicidade conferida no gzip25, cartao unico, v100 e ordens consistentes; manter representantes de menor linha sem identidade civil."
"21_21438_3_linha194634","194641","remover","2","1","21211305214380033519009542092000-                     \0029841","21211305214380033519009542092000-                     \0029841","data/release_legacy/Censo.1960.amostra.25porcento.pe.gz","37851","Grupo integral identico em 127; multiplicidade conferida no gzip25, cartao unico, v100 e ordens consistentes; manter representantes de menor linha sem identidade civil."
"21_21438_3_linha194632","194632","manter","2","1","21211305214380033529103542092000-                     \0029841","21211305214380033529103542092000-                     \0029841","data/release_legacy/Censo.1960.amostra.25porcento.pe.gz","37850","Grupo integral identico em 127; multiplicidade conferida no gzip25, cartao unico, v100 e ordens consistentes; manter representantes de menor linha sem identidade civil."
"21_21438_3_linha194632","194643","remover","2","1","21211305214380033529103542092000-                     \0029841","21211305214380033529103542092000-                     \0029841","data/release_legacy/Censo.1960.amostra.25porcento.pe.gz","37850","Grupo integral identico em 127; multiplicidade conferida no gzip25, cartao unico, v100 e ordens consistentes; manter representantes de menor linha sem identidade civil."
"21_21438_3_linha194637","194637","manter","2","1","21211305214380033529104542092000-                     \0029841","21211305214380033529104542092000-                     \0029841","data/release_legacy/Censo.1960.amostra.25porcento.pe.gz","37849","Grupo integral identico em 127; multiplicidade conferida no gzip25, cartao unico, v100 e ordens consistentes; manter representantes de menor linha sem identidade civil."
"21_21438_3_linha194637","194644","remover","2","1","21211305214380033529104542092000-                     \0029841","21211305214380033529104542092000-                     \0029841","data/release_legacy/Censo.1960.amostra.25porcento.pe.gz","37849","Grupo integral identico em 127; multiplicidade conferida no gzip25, cartao unico, v100 e ordens consistentes; manter representantes de menor linha sem identidade civil."
"21_21438_3_linha194636","194636","manter","2","1","21211305214380033523109542092000311-                  \0029841","21211305214380033523109542092000311-                  \0029841","data/release_legacy/Censo.1960.amostra.25porcento.pe.gz","37854","Grupo integral identico em 127; multiplicidade conferida no gzip25, cartao unico, v100 e ordens consistentes; manter representantes de menor linha sem identidade civil."
"21_21438_3_linha194636","194645","remover","2","1","21211305214380033523109542092000311-                  \0029841","21211305214380033523109542092000311-                  \0029841","data/release_legacy/Censo.1960.amostra.25porcento.pe.gz","37854","Grupo integral identico em 127; multiplicidade conferida no gzip25, cartao unico, v100 e ordens consistentes; manter representantes de menor linha sem identidade civil."
"21_21438_3_linha194635","194635","manter","2","1","2121130521438003352311454209122031100000000034-       \0029841","2121130521438003352311454209122031100000000034-       \0029841","data/release_legacy/Censo.1960.amostra.25porcento.pe.gz","37853","Grupo integral identico em 127; multiplicidade conferida no gzip25, cartao unico, v100 e ordens consistentes; manter representantes de menor linha sem identidade civil."
"21_21438_3_linha194635","194646","remover","2","1","2121130521438003352311454209122031100000000034-       \0029841","2121130521438003352311454209122031100000000034-       \0029841","data/release_legacy/Censo.1960.amostra.25porcento.pe.gz","37853","Grupo integral identico em 127; multiplicidade conferida no gzip25, cartao unico, v100 e ordens consistentes; manter representantes de menor linha sem identidade civil."
"21_21438_3_linha194638","194638","manter","2","1","212113052143800335141505420919203110000002025334122157\0029841","212113052143800335141505420919203110000002025334122157\0029841","data/release_legacy/Censo.1960.amostra.25porcento.pe.gz","37852","Grupo integral identico em 127; multiplicidade conferida no gzip25, cartao unico, v100 e ordens consistentes; manter representantes de menor linha sem identidade civil."
"21_21438_3_linha194638","194647","remover","2","1","212113052143800335141505420919203110000002025334122157\0029841","212113052143800335141505420919203110000002025334122157\0029841","data/release_legacy/Censo.1960.amostra.25porcento.pe.gz","37852","Grupo integral identico em 127; multiplicidade conferida no gzip25, cartao unico, v100 e ordens consistentes; manter representantes de menor linha sem identidade civil."
"21_21438_4_linha194650","194650","manter","2","1","2121130521438004352812057209200014200657020134-       \0029843","2121130521438004352812057209200014200657020134-       \0029843","data/release_legacy/Censo.1960.amostra.25porcento.pe.gz","37857","Grupo integral identico em 127; multiplicidade conferida no gzip25, cartao unico, v100 e ordens consistentes; manter representantes de menor linha sem identidade civil."
"21_21438_4_linha194650","194652","remover","2","1","2121130521438004352812057209200014200657020134-       \0029843","2121130521438004352812057209200014200657020134-       \0029843","data/release_legacy/Censo.1960.amostra.25porcento.pe.gz","37857","Grupo integral identico em 127; multiplicidade conferida no gzip25, cartao unico, v100 e ordens consistentes; manter representantes de menor linha sem identidade civil."
"21_21438_5_linha194655","194655","manter","2","1","2121130521438005352812055209200018210959000034-       \0029845","2121130521438005352812055209200018210959000034-       \0029845","data/release_legacy/Censo.1960.amostra.25porcento.pe.gz","37861","Grupo integral identico em 127; multiplicidade conferida no gzip25, cartao unico, v100 e ordens consistentes; manter representantes de menor linha sem identidade civil."
"21_21438_5_linha194655","194657","remover","2","1","2121130521438005352812055209200018210959000034-       \0029845","2121130521438005352812055209200018210959000034-       \0029845","data/release_legacy/Censo.1960.amostra.25porcento.pe.gz","37861","Grupo integral identico em 127; multiplicidade conferida no gzip25, cartao unico, v100 e ordens consistentes; manter representantes de menor linha sem identidade civil."
"21_21438_6_linha194665","194665","manter","2","1","21211305214380063519107552092000311-                  \0029847","21211305214380063519107552092000311-                  \0029847","data/release_legacy/Censo.1960.amostra.25porcento.pe.gz","37869","Grupo integral identico em 127; multiplicidade conferida no gzip25, cartao unico, v100 e ordens consistentes; manter representantes de menor linha sem identidade civil."
"21_21438_6_linha194665","194668","remover","2","1","21211305214380063519107552092000311-                  \0029847","21211305214380063519107552092000311-                  \0029847","data/release_legacy/Censo.1960.amostra.25porcento.pe.gz","37869","Grupo integral identico em 127; multiplicidade conferida no gzip25, cartao unico, v100 e ordens consistentes; manter representantes de menor linha sem identidade civil."
"21_21438_6_linha194664","194664","manter","2","1","2121130521438006352812755209200031100850080634-       \0029847","2121130521438006352812755209200031100850080634-       \0029847","data/release_legacy/Censo.1960.amostra.25porcento.pe.gz","37865","Grupo integral identico em 127; multiplicidade conferida no gzip25, cartao unico, v100 e ordens consistentes; manter representantes de menor linha sem identidade civil."
"21_21438_6_linha194664","194669","remover","2","1","2121130521438006352812755209200031100850080634-       \0029847","2121130521438006352812755209200031100850080634-       \0029847","data/release_legacy/Censo.1960.amostra.25porcento.pe.gz","37865","Grupo integral identico em 127; multiplicidade conferida no gzip25, cartao unico, v100 e ordens consistentes; manter representantes de menor linha sem identidade civil."
"21_21438_6_linha194663","194663","manter","2","1","21211305214380063529105552092000311-                  \0029847","21211305214380063529105552092000311-                  \0029847","data/release_legacy/Censo.1960.amostra.25porcento.pe.gz","37870","Grupo integral identico em 127; multiplicidade conferida no gzip25, cartao unico, v100 e ordens consistentes; manter representantes de menor linha sem identidade civil."
"21_21438_6_linha194663","194670","remover","2","1","21211305214380063529105552092000311-                  \0029847","21211305214380063529105552092000311-                  \0029847","data/release_legacy/Censo.1960.amostra.25porcento.pe.gz","37870","Grupo integral identico em 127; multiplicidade conferida no gzip25, cartao unico, v100 e ordens consistentes; manter representantes de menor linha sem identidade civil."
"21_21438_6_linha194662","194662","manter","2","1","21211305214380063529102552092000-                     \0029847","21211305214380063529102552092000-                     \0029847","data/release_legacy/Censo.1960.amostra.25porcento.pe.gz","37871","Grupo integral identico em 127; multiplicidade conferida no gzip25, cartao unico, v100 e ordens consistentes; manter representantes de menor linha sem identidade civil."
"21_21438_6_linha194662","194671","remover","2","1","21211305214380063529102552092000-                     \0029847","21211305214380063529102552092000-                     \0029847","data/release_legacy/Censo.1960.amostra.25porcento.pe.gz","37871","Grupo integral identico em 127; multiplicidade conferida no gzip25, cartao unico, v100 e ordens consistentes; manter representantes de menor linha sem identidade civil."
"21_21438_6_linha194661","194661","manter","2","1","2121130521438006351911155209200031100000000031-       \0029847","2121130521438006351911155209200031100000000031-       \0029847","data/release_legacy/Censo.1960.amostra.25porcento.pe.gz","37867","Grupo integral identico em 127; multiplicidade conferida no gzip25, cartao unico, v100 e ordens consistentes; manter representantes de menor linha sem identidade civil."
"21_21438_6_linha194661","194672","remover","2","1","2121130521438006351911155209200031100000000031-       \0029847","2121130521438006351911155209200031100000000031-       \0029847","data/release_legacy/Censo.1960.amostra.25porcento.pe.gz","37867","Grupo integral identico em 127; multiplicidade conferida no gzip25, cartao unico, v100 e ordens consistentes; manter representantes de menor linha sem identidade civil."
"21_21438_6_linha194666","194666","manter","2","1","2121130521438006351911355209200031100000000031-       \0029847","2121130521438006351911355209200031100000000031-       \0029847","data/release_legacy/Censo.1960.amostra.25porcento.pe.gz","37866","Grupo integral identico em 127; multiplicidade conferida no gzip25, cartao unico, v100 e ordens consistentes; manter representantes de menor linha sem identidade civil."
