"linha","linha_familia","texto_original","texto_corrigido","texto_familia_original","texto_familia_corrigido","fonte_25","linha_pessoa_25","linha_familia_25","justificativa"
"302261","302453","31313801316060313129105570592000311-                  \0048054","31313801316060313129105570592000311-                  \0048054","3131380731606031111578289680207003                    \0048082","3131380731606031111578289680207003                    \0048082","data/release_legacy/Censo.1960.amostra.25porcento.ba.gz","399500","399494","Correspondencia pessoal exata; vincular ao cartao existente preservando distrito e campos brutos divergentes."
"315134","315732","3131750331962118312813754059200031100845050534-       \0050196","3131750331962118312813754059200031100845050534-       \0050196","3131750531962118111478389680205002                    \0050305","3131750531962118111478389680205002                    \0050305","data/release_legacy/Censo.1960.amostra.25porcento.ba.gz","645854","645852","Correspondencia pessoal exata; vincular ao cartao existente preservando distrito e campos brutos divergentes."
"315135","315732","31317503319621183119108540592000200-                  \0050196","31317503319621183119108540592000200-                  \0050196","3131750531962118111478389680205002                    \0050305","3131750531962118111478389680205002                    \0050305","data/release_legacy/Censo.1960.amostra.25porcento.ba.gz","645858","645852","Correspondencia pessoal exata; vincular ao cartao existente preservando distrito e campos brutos divergentes."
"315136","315732","3131750331962118311911454059200006200000000035-       \0050196","3131750331962118311911454059200006200000000035-       \0050196","3131750531962118111478389680205002                    \0050305","3131750531962118111478389680205002                    \0050305","data/release_legacy/Censo.1960.amostra.25porcento.ba.gz","645855","645852","Correspondencia pessoal exata; vincular ao cartao existente preservando distrito e campos brutos divergentes."
"315137","315732","3131750331962118312911254059200005200000000035-       \0050196","3131750331962118312911254059200005200000000035-       \0050196","3131750531962118111478389680205002                    \0050305","3131750531962118111478389680205002                    \0050305","data/release_legacy/Censo.1960.amostra.25porcento.ba.gz","645856","645852","Correspondencia pessoal exata; vincular ao cartao existente preservando distrito e campos brutos divergentes."
"315138","315732","31317503319621183119104540592000-                     \0050196","31317503319621183119104540592000-                     \0050196","3131750531962118111478389680205002                    \0050305","3131750531962118111478389680205002                    \0050305","data/release_legacy/Censo.1960.amostra.25porcento.ba.gz","645859","645852","Correspondencia pessoal exata; vincular ao cartao existente preservando distrito e campos brutos divergentes."
"315139","315732","3131750331962118311911054059200020000000000035-       \0050196","3131750331962118311911054059200020000000000035-       \0050196","3131750531962118111478389680205002                    \0050305","3131750531962118111478389680205002                    \0050305","data/release_legacy/Censo.1960.amostra.25porcento.ba.gz","645857","645852","Correspondencia pessoal exata; vincular ao cartao existente preservando distrito e campos brutos divergentes."
"315736","315168","3131750531962124312911354059200005200000000035-       \0050305","3131750531962124312911354059200005200000000035-       \0050305","3131750331962124111478389680208003                    \0050202","3131750331962124111478389680208003                    \0050202","data/release_legacy/Censo.1960.amostra.25porcento.ba.gz","645897","645891","Correspondencia pessoal exata; vincular ao cartao existente preservando distrito e campos brutos divergentes."
"101866","102976","14143305141502033529101570792000-                     \0015402","14143305141502033529101570792000-                     \0015402","1414330714150203151498389680204002                    \0015568","1414330714150203151498389680204002                    \0015568","data/release_legacy/Censo.1960.amostra.25porcento.ce.gz","109002","108997","Pessoa unica com 25 quesitos exatos; cartoes unicos com 15 campos e distrito exatos; composicao integral e UF/municipio/situacao de todas as pessoas conferidos. Corrige somente vinculo; distrito e campos pessoais brutos permanecem."
"102085","101863","14143307141500703519101540792000-                     \0015435","14143307141500703519101540792000-                     \0015435","1414330514150070151598389680204001                    \0015402","1414330514150070151598389680204001                    \0015402","data/release_legacy/Censo.1960.amostra.25porcento.ce.gz","108104","108099","Pessoa unica com 25 quesitos exatos; cartoes unicos com 15 campos e distrito exatos; composicao integral e UF/municipio/situacao de todas as pessoas conferidos. Corrige somente vinculo; distrito e campos pessoais brutos permanecem."
"102086","101863","14143307141500703529103540792000-                     \0015435","14143307141500703529103540792000-                     \0015435","1414330514150070151598389680204001                    \0015402","1414330514150070151598389680204001                    \0015402","data/release_legacy/Censo.1960.amostra.25porcento.ce.gz","108103","108099","Pessoa unica com 25 quesitos exatos; cartoes unicos com 15 campos e distrito exatos; composicao integral e UF/municipio/situacao de todas as pessoas conferidos. Corrige somente vinculo; distrito e campos pessoais brutos permanecem."
"102087","101863","14143307141500703529105540792000311-                  \0015435","14143307141500703529105540792000311-                  \0015435","1414330514150070151598389680204001                    \0015402","1414330514150070151598389680204001                    \0015402","data/release_legacy/Censo.1960.amostra.25porcento.ce.gz","108102","108099","Pessoa unica com 25 quesitos exatos; cartoes unicos com 15 campos e distrito exatos; composicao integral e UF/municipio/situacao de todas as pessoas conferidos. Corrige somente vinculo; distrito e campos pessoais brutos permanecem."
"209262","216197","21213505212381193329105552092000311-                  \0032404","21213505212381193329105552092000311-                  \0032404","2121352521238119131498380580203002                    \0033549","2121352521238119131498380580203002                    \0033549","data/release_legacy/Censo.1960.amostra.25porcento.pe.gz","305673","305668","Pessoa unica com 25 quesitos exatos; cartoes unicos com 15 campos e distrito exatos; composicao integral e UF/municipio/situacao de todas as pessoas conferidos. Corrige somente vinculo; distrito e campos pessoais brutos permanecem."
