uf,classe,linha,tipo_registro,decisao,texto_original,texto_corrigido,explicacao
al,bloco_de_pastas_deslocado,,,ordem_do_cadastro,,,"As pastas 25082-25600 (16 pastas, 18433 linhas) vêm à frente, fora da ordem do cadastro. Em nove das dezessete unidades o arquivo já está na ordem do cadastro — pasta, boletim, número da pessoa —, o que mostra que essa é a ordem de arquivamento. Nas outras oito um bloco de pastas está à frente, fora de lugar; o resto do arquivo é crescente e não repete nenhuma delas. A decisão é restaurar a ordem do cadastro, ordenando por pasta, boletim e pessoa. Nenhum registro muda de conteúdo; muda a posição."
ba,bloco_de_pastas_deslocado,,,ordem_do_cadastro,,,"As pastas 31322-31500 (90 pastas, 120032 linhas) vêm à frente, fora da ordem do cadastro. Em nove das dezessete unidades o arquivo já está na ordem do cadastro — pasta, boletim, número da pessoa —, o que mostra que essa é a ordem de arquivamento. Nas outras oito um bloco de pastas está à frente, fora de lugar; o resto do arquivo é crescente e não repete nenhuma delas. A decisão é restaurar a ordem do cadastro, ordenando por pasta, boletim e pessoa. Nenhum registro muda de conteúdo; muda a posição."
go,bloco_de_pastas_deslocado,,,ordem_do_cadastro,,,"As pastas 94072-94500 (214 pastas, 271214 linhas) vêm à frente, fora da ordem do cadastro. Em nove das dezessete unidades o arquivo já está na ordem do cadastro — pasta, boletim, número da pessoa —, o que mostra que essa é a ordem de arquivamento. Nas outras oito um bloco de pastas está à frente, fora de lugar; o resto do arquivo é crescente e não repete nenhuma delas. A decisão é restaurar a ordem do cadastro, ordenando por pasta, boletim e pessoa. Nenhum registro muda de conteúdo; muda a posição."
pe,bloco_de_pastas_deslocado,,,ordem_do_cadastro,,,"As pastas 21374-21620 (124 pastas, 153446 linhas) vêm à frente, fora da ordem do cadastro. Em nove das dezessete unidades o arquivo já está na ordem do cadastro — pasta, boletim, número da pessoa —, o que mostra que essa é a ordem de arquivamento. Nas outras oito um bloco de pastas está à frente, fora de lugar; o resto do arquivo é crescente e não repete nenhuma delas. A decisão é restaurar a ordem do cadastro, ordenando por pasta, boletim e pessoa. Nenhum registro muda de conteúdo; muda a posição."
pr,bloco_de_pastas_deslocado,,,ordem_do_cadastro,,,"As pastas 70194-70482 (145 pastas, 192737 linhas) vêm à frente, fora da ordem do cadastro. Em nove das dezessete unidades o arquivo já está na ordem do cadastro — pasta, boletim, número da pessoa —, o que mostra que essa é a ordem de arquivamento. Nas outras oito um bloco de pastas está à frente, fora de lugar; o resto do arquivo é crescente e não repete nenhuma delas. A decisão é restaurar a ordem do cadastro, ordenando por pasta, boletim e pessoa. Nenhum registro muda de conteúdo; muda a posição."
rj,bloco_de_pastas_deslocado,,,ordem_do_cadastro,,,"As pastas 52116-52508 (196 pastas, 282356 linhas) vêm à frente, fora da ordem do cadastro. Em nove das dezessete unidades o arquivo já está na ordem do cadastro — pasta, boletim, número da pessoa —, o que mostra que essa é a ordem de arquivamento. Nas outras oito um bloco de pastas está à frente, fora de lugar; o resto do arquivo é crescente e não repete nenhuma delas. A decisão é restaurar a ordem do cadastro, ordenando por pasta, boletim e pessoa. Nenhum registro muda de conteúdo; muda a posição."
rs,bloco_de_pastas_deslocado,,,ordem_do_cadastro,,,"As pastas 81342-81636 (148 pastas, 212970 linhas) vêm à frente, fora da ordem do cadastro. Em nove das dezessete unidades o arquivo já está na ordem do cadastro — pasta, boletim, número da pessoa —, o que mostra que essa é a ordem de arquivamento. Nas outras oito um bloco de pastas está à frente, fora de lugar; o resto do arquivo é crescente e não repete nenhuma delas. A decisão é restaurar a ordem do cadastro, ordenando por pasta, boletim e pessoa. Nenhum registro muda de conteúdo; muda a posição."
sp,bloco_de_pastas_deslocado,,,ordem_do_cadastro,,,"As pastas 64150-66292 (1072 pastas, 1433310 linhas) vêm à frente, fora da ordem do cadastro. Em nove das dezessete unidades o arquivo já está na ordem do cadastro — pasta, boletim, número da pessoa —, o que mostra que essa é a ordem de arquivamento. Nas outras oito um bloco de pastas está à frente, fora de lugar; o resto do arquivo é crescente e não repete nenhuma delas. A decisão é restaurar a ordem do cadastro, ordenando por pasta, boletim e pessoa. Nenhum registro muda de conteúdo; muda a posição. Em São Paulo o deslocamento cortou um boletim ao meio, e a mesma ordenação o recompõe: ver as quatro decisões de classe boletim_partido."
sp,boletim_partido,4062698,00,ordem_do_cadastro,641500050020314989595792080026354031000000000000000000,,"Registro de família do boletim 64150/005, que o deslocamento do bloco deixou na última linha do arquivo. O boletim é o único dos 3.071.284 que o deslocamento partiu; a ordenação por pasta, boletim e pessoa o recompõe."
sp,boletim_partido,1,01,ordem_do_cadastro,641500050120121714154269920001420064501010311121139000,,"Pessoa 01 do boletim 64150/005, que o deslocamento deixou na primeira linha do arquivo. O boletim é o único dos 3.071.284 que o deslocamento partiu; a ordenação por pasta, boletim e pessoa o recompõe."
sp,boletim_partido,2,02,ordem_do_cadastro,6415000502002028137542699200016200645010134        000,,"Pessoa 02 do boletim 64150/005. O boletim é o único dos 3.071.284 que o deslocamento partiu; a ordenação por pasta, boletim e pessoa o recompõe."
sp,boletim_partido,3,03,ordem_do_cadastro,6415000503903919114542699200007210000000035        000,,"Pessoa 03 do boletim 64150/005. O boletim é o único dos 3.071.284 que o deslocamento partiu; a ordenação por pasta, boletim e pessoa o recompõe."
