uf60,code_muni_1960,name_muni_1960,code_district_1960,domicilios
71,7245,Manoel Ribas,5,1533
97,9700,Brasília,7,1401
52,5252,Petrópolis,3,1391
21,2144,Vitória de Santo Antão,5,1292
40,4242,Teófilo Otoni,11,1173
81,8555,São Lourenço do Sul,3,1130
81,8414,Novo Hamburgo,5,1116
71,7329,Jandaia do Sul,3,1114
40,4533,Contagem,3,996
71,7303,Apucarana,5,883
52,5210,Campos,25,877
21,2116,Carpina,3,871
21,2133,Paulista,3,860
60,6201,Barueri,5,850
71,7148,Tibagi,5,818
21,2110,Água Preta,3,815
21,2230,Águas Belas,5,815
71,7245,Manoel Ribas,3,782
52,5311,Nova Iguaçu,5,778
31,3215,Jequié,15,766
14,1468,Maranguape,9,714
31,3137,Ilhéus,15,712
21,2135,Recife,3,695
31,3270,São Francisco do Conde,3,688
19,2029,Itabaiana,7,672
21,2144,Vitória de Santo Antão,3,667
71,7257,Rondon,3,657
31,3282,Feira de Santana,17,651
21,2165,Glória do Goitá,5,645
40,4211,Brasília,5,644
40,4201,Manga,5,638
71,7246,Marialva,7,638
40,4026,Salinas,7,635
52,5213,São João da Barra,7,630
71,7255,Pitanga,9,624
31,3300,Andaraí,5,621
19,2029,Itabaiana,9,614
71,7333,Londrina,9,613
31,3137,Ilhéus,7,598
71,7121,Guarapuava,17,597
21,2142,Timbaúba,3,576
31,3288,Santo Estêvão,5,563
21,2214,São José do Egito,3,563
31,3139,Itabuna,11,559
31,3266,Santo Amaro,11,556
52,5210,Campos,27,556
71,7251,Paranacity,3,550
60,6653,Pompéia,7,547
21,2119,Escada,3,545
52,5220,Bom Jesus do Itabapoana,5,543
31,3300,Andaraí,9,538
52,5210,Campos,3,523
40,4242,Teófilo Otoni,7,520
71,7253,Pato Branco,7,519
71,7158,São José dos Pinhais,5,518
71,7121,Guarapuava,21,517
71,7303,Apucarana,3,517
14,1488,São Benedito,3,512
31,3392,Itaberaba,5,507
31,3173,Cícero Dantas,3,501
40,4240,Novo Cruzeiro,5,495
21,2230,Águas Belas,3,493
71,7252,Paranavaí,3,480
40,4203,São Romão,3,477
71,7333,Londrina,5,477
60,6104,Jacupiranga,3,477
31,3282,Feira de Santana,11,476
52,5253,Teresópolis,5,474
40,4210,Bocaiúva,5,473
81,8264,Rio Pardo,7,473
31,3165,Porto Seguro,5,469
71,7252,Paranavaí,9,469
71,7255,Pitanga,3,468
19,1928,Santa Rita,5,466
81,8104,Santo Ângelo,5,465
40,4912,Ituiutaba,3,464
21,2141,També,9,462
40,4025,Rio Pardo de Minas,5,457
71,7155,Curitiba,3,457
81,8254,Cachoeira do Sul,11,454
71,7121,Guarapuava,13,453
40,4338,Tarumirim,13,447
71,7121,Guarapuava,3,443
71,7143,Lapa,3,443
71,7315,Cambé,3,443
40,4024,Porteirinha,5,441
14,1531,Trairi,3,434
19,1924,João Pessoa,3,434
21,2132,Paudalho,3,434
31,3307,Irecê,7,430
19,1932,Bananeiras,3,430
40,4242,Teófilo Otoni,9,428
40,4242,Teófilo Otoni,5,427
60,6024,Pindamonhangaba,3,427
40,4420,Espera Feliz,5,425
21,2134,Quipapá,5,421
40,4012,Presidente Olegário,5,420
21,2231,Buíque,9,419
60,6428,Jaú,3,418
14,1440,Acopiara,7,414
81,8556,Tapes,5,413
40,4300,Açucena,11,412
21,2162,Correntes,5,411
31,3220,Santa Inês,5,409
19,2038,Umbuzeiro,3,409
52,5303,Magé,3,409
40,4026,Salinas,3,408
71,7228,Clevelândia,3,407
14,1430,Reriutaba,5,406
21,2172,Orobó,3,406
71,7144,Palmeira,3,406
31,3380,Campo Formoso,5,404
81,8204,Caxias do Sul,17,403
31,3138,Ipiaú,3,402
81,8354,Ijuí,11,401
31,3236,Itapetinga,3,400
21,2220,Triunfo,3,400
14,1473,Redenção,7,399
19,1992,Princesa Isabel,5,399
14,1522,Itapipoca,13,398
71,7155,Curitiba,5,396
21,2152,Altinho,5,395
71,7143,Lapa,5,395
60,6064,Itapecerica da Serra,5,395
21,2241,Custódia,3,394
31,3239,Vitória da Conquista,13,393
19,1938,Serraria,3,393
71,7255,Pitanga,11,392
71,7347,São Jerônimo da Serra,5,390
40,4260,Caraí,3,389
71,7246,Marialva,3,389
31,3179,Jeremoabo,5,388
31,3396,Miguel Calmon,7,388
40,4457,Ponte Nova,11,387
81,8359,Passo Fundo,11,386
19,1976,Patos,11,383
71,7236,Goio-Erê,5,380
31,3341,Curaçá,9,379
71,7130,Castro,5,378
71,7224,Capanema,5,376
52,5224,Natividade de Carangola,5,376
19,1992,Princesa Isabel,3,375
40,4463,Rio Casca,3,374
21,2141,També,7,372
71,7251,Paranacity,5,371
71,7257,Rondon,5,371
40,4700,Abaeté,5,369
60,6730,Santa Fé do Sul,7,369
40,4217,Montes Claros,13,368
14,1440,Acopiara,3,367
19,1978,Pombal,5,367
40,4025,Rio Pardo de Minas,3,365
14,1473,Redenção,3,364
14,1645,Crato,9,362
14,1468,Maranguape,5,358
19,1977,Piancó,3,358
81,8264,Rio Pardo,11,355
81,8501,Rio Grande,5,355
14,1452,Lavras da Mangabeira,9,354
19,1935,Esperança,3,354
71,7121,Guarapuava,7,354
52,5290,Araruama,3,354
40,4202,São Francisco,9,350
40,4317,Iapu,5,350
71,7172,Curiúva,3,350
60,6206,Campinas,3,350
71,7110,Bocaiúva do Sul,5,349
40,4505,Itamarandiba,5,348
60,6670,Assis,3,348
31,3326,Jacaraci,7,347
21,2134,Quipapá,7,344
21,2131,Palmares,3,343
71,7238,Guaraniaçu,7,343
31,3370,Angical,5,342
19,1977,Piancó,11,342
81,8503,São José do Norte,7,342
21,2111,Aliança,5,340
19,1951,Carnoió,5,339
19,2033,Pilar,7,338
81,8504,Torres,3,338
81,8104,Santo Ângelo,11,337
19,2033,Pilar,5,334
31,3137,Ilhéus,3,333
31,3300,Andaraí,7,333
21,2133,Paulista,5,332
19,1964,Taperoá,5,331
40,4118,Ouro Fino,5,330
40,4202,São Francisco,7,330
81,8204,Caxias do Sul,3,330
91,9150,Aquidauana,3,328
31,3267,Santo Antônio de Jesus,3,327
71,7220,Alto Paraná,3,326
71,7253,Pato Branco,11,325
40,4437,Manhumirim,3,324
71,7240,Laranjeiras do Sul,7,324
14,1491,Viçosa do Ceará,3,323
21,2232,Inajá,3,323
81,8553,Pedro Osório,3,323
14,1527,Paracuru,3,322
71,7340,Rolândia,3,322
19,2038,Umbuzeiro,5,321
71,7110,Bocaiúva do Sul,3,318
52,5267,Resende,9,318
31,3285,Irará,13,317
19,2010,Antenor Navarro,3,317
31,3137,Ilhéus,23,316
40,4802,Carmo do Paranaíba,3,315
71,7301,Amoreira,3,315
71,7193,Ortigueira,9,314
81,8325,Tenente Portela,5,312
31,3218,Maracás,13,311
81,8554,Pelotas,11,310
31,3136,Ibicaraí,9,309
40,4010,João Pinheiro,3,309
40,4505,Itamarandiba,9,309
21,2141,També,3,309
71,7157,Rio Negro,5,309
19,1960,São Sebastião do Umbuzeiro,3,308
94,9638,Goiás,13,306
14,1546,Piquet Carneiro,3,305
21,2127,Maraial,3,304
31,3140,Itacaré,5,303
31,3307,Irecê,9,303
21,2111,Aliança,7,303
60,6221,Mogi das Cruzes,3,303
31,3285,Irará,15,302
31,3280,Castro Alves,5,301
14,1645,Crato,7,301
21,2220,Triunfo,7,301
71,7206,São João do Triunfo,3,301
81,8269,Taquari,3,301
31,3310,Morro do Chapéu,21,300
19,2012,Cajazeiras,3,299
81,8302,Campo Novo,5,299
19,1978,Pombal,7,297
31,3184,Queimadas,3,296
40,4476,São Miguel do Anta,3,296
19,1970,Brejo do Cruz,3,296
81,8204,Caxias do Sul,11,296
19,2038,Umbuzeiro,7,295
14,1481,Guaraciaba do Norte,3,294
14,1529,São Gonçalo do Amarante,3,292
71,7194,Prudentópolis,3,291
25,2383,Santana do Ipanema,3,289
31,3307,Irecê,5,289
31,3282,Feira de Santana,19,288
31,3310,Morro do Chapéu,15,288
31,3114,Entre Rios,5,287
31,3313,Piatã,9,286
81,8254,Cachoeira do Sul,5,286
31,3324,Guanambi,3,285
19,1994,Teixeira,3,285
31,3356,Pilão Arcado,5,284
40,4432,Lajinha,3,284
19,1930,Alagoa Nova,3,283
21,2220,Triunfo,5,283
14,1440,Acopiara,5,282
14,1548,Quixeramobim,11,282
14,1631,Campos Sales,11,282
19,1930,Alagoa Nova,5,282
71,7158,São José dos Pinhais,3,282
71,7237,Guaíra,7,282
71,7324,Iguaraçu,3,282
60,6647,Marília,11,282
71,7250,Paraíso do Norte,3,281
14,1544,Mombaça,5,280
40,4716,Divinópolis,3,280
19,1924,João Pessoa,5,280
71,7201,Irati,5,280
71,7333,Londrina,7,280
19,2036,Serra da Raiz,3,279
71,7192,Ipiranga,5,279
81,8354,Ijuí,9,279
14,1473,Redenção,5,278
71,7238,Guaraniaçu,5,278
71,7255,Pitanga,5,278
81,8556,Tapes,3,278
71,7252,Paranavaí,7,277
40,4026,Salinas,5,276
71,7350,Uraí,5,276
31,3167,Santa Cruz Cabrália,3,275
81,8315,Marcelino Ramos,5,275
14,1591,Pereiro,3,274
71,7130,Castro,3,274
71,7236,Goio-Erê,3,274
52,5272,Vassouras,15,274
40,4724,Itaúna,3,273
40,4024,Porteirinha,3,272
71,7224,Capanema,3,272
52,5224,Natividade de Carangola,3,272
52,5271,Valença,5,272
14,1446,Cedro,3,270
71,7255,Pitanga,7,270
81,8104,Santo Ângelo,3,270
40,4242,Teófilo Otoni,3,269
71,7191,Imbituva,3,269
71,7236,Goio-Erê,7,268
14,1483,Ipu,3,267
40,4225,Morada Nova de Minas,3,267
21,2141,També,5,267
40,4024,Porteirinha,7,266
40,4436,Manhuaçu,11,266
14,1473,Redenção,9,265
40,4482,Teixeiras,3,265
21,2164,Garanhuns,11,265
21,2261,Salgueiro,9,265
14,1445,Cariús,3,264
40,4331,Santa Maria do Suaçuí,5,264
71,7250,Paraíso do Norte,5,264
71,7157,Rio Negro,7,263
71,7333,Londrina,3,263
21,2181,São Caitano,5,262
40,4604,Bonfim,5,261
40,4218,São João da Ponte,5,260
19,1993,Tavares,3,260
31,3301,Barra da Estiva,5,259
60,6709,Presidente Bernardes,5,259
31,3359,Xique-Xique,3,258
52,5292,Maricá,3,258
31,3311,Mucugê,5,257
71,7121,Guarapuava,9,257
31,3230,Boa Nova,5,256
31,3324,Guanambi,7,256
14,1448,Icó,5,256
14,1645,Crato,11,256
71,7194,Prudentópolis,5,255
81,8425,Venâncio Aires,5,255
40,4202,São Francisco,3,254
31,3384,Senhor do Bonfim,7,253
14,1645,Crato,5,253
31,3310,Morro do Chapéu,9,252
40,4329,Rio Vermelho,5,252
40,4331,Santa Maria do Suaçuí,3,252
52,5306,Rio Bonito,3,252
81,8104,Santo Ângelo,17,252
14,1649,Juazeiro do Norte,3,251
19,1977,Piancó,7,251
21,2250,Araripina,5,251
71,7195,Reserva,3,251
31,3354,Juazeiro,5,250
40,4505,Itamarandiba,7,250
71,7181,Siqueira Campos,5,250
40,4814,Rio Paranaíba,3,249
31,3137,Ilhéus,13,248
14,1522,Itapipoca,19,248
40,4304,Bom Jesus do Galho,3,248
