quesito,variavel,codigo,rotulo,grupo,subgrupo,pagina,nota
B,V202,1,"Homem, morador presente",,,2,sexo e condição de presença num só algarismo; não morador presente só pode ter quesito C = 4 ou 6
B,V202,2,"Mulher, moradora presente",,,2,sexo e condição de presença num só algarismo; não morador presente só pode ter quesito C = 4 ou 6
B,V202,3,"Homem, morador ausente",,,2,sexo e condição de presença num só algarismo; não morador presente só pode ter quesito C = 4 ou 6
B,V202,4,"Mulher, moradora ausente",,,2,sexo e condição de presença num só algarismo; não morador presente só pode ter quesito C = 4 ou 6
B,V202,5,"Homem, não morador presente",,,2,sexo e condição de presença num só algarismo; não morador presente só pode ter quesito C = 4 ou 6
B,V202,6,"Mulher, não moradora presente",,,2,sexo e condição de presença num só algarismo; não morador presente só pode ter quesito C = 4 ou 6
C,V203,7,Chefe,,,2,
C,V203,8,Cônjuge,,,2,
C,V203,9,Filho ou enteado,,,2,
C,V203,0,Neto,,,2,
C,V203,1,Pais e sogros,,,2,
C,V203,2,Outros parentes,,,2,
C,V203,3,Agregado,,,2,
C,V203,4,Hóspede ou empregado,,,2,
C,V203,5,Ignorado,,,2,
C,V203,6,Pessoa recenseada em boletim individual,,,2,
D,V204,0,Idade declarada em meses (os dois algarismos seguintes),,,2,"três símbolos: o primeiro é a unidade, os dois outros o valor; menor de 5 anos leva X no quesito L, menor de 10 leva X no quesito O"
D,V204,1,Idade declarada em anos (os dois algarismos seguintes),,,2,"três símbolos: o primeiro é a unidade, os dois outros o valor; menor de 5 anos leva X no quesito L, menor de 10 leva X no quesito O"
D,V204,5,Mais de 99 anos (os dois algarismos seguintes são os últimos da idade),,,2,"três símbolos: o primeiro é a unidade, os dois outros o valor; menor de 5 anos leva X no quesito L, menor de 10 leva X no quesito O"
D,V204,9,Ignorado (código 999),,,2,"três símbolos: o primeiro é a unidade, os dois outros o valor; menor de 5 anos leva X no quesito L, menor de 10 leva X no quesito O"
E,V205,5,Católica romana,,,3,
E,V205,6,Protestante,,,3,
E,V205,7,Espírita,,,3,
E,V205,8,Budista,,,3,
E,V205,9,Israelita,,,3,
E,V205,0,Ortodoxa,,,3,
E,V205,1,Maometana,,,3,
E,V205,2,Outra religião,,,3,
E,V205,3,Sem religião,,,3,
E,V205,4,Ignorado,,,3,
F,V206,4,Branca,,,3,
F,V206,5,Preta,,,3,
F,V206,6,Amarela,,,3,
