uf60,code_muni_1960,name_muni_1960,code_district_1960,name_district_1960,name_bairro_1960,tipo,zona_cod,zona,pagina,fonte
0,10,Guajará-Mirim,01,Guajará-Mirim,,distrito,,Zona do Alto Madeiro,2,OCR (Tesseract por) do Código de Municípios e Distritos de 1960; código do município conferido pela DTB ()
0,10,Guajará-Mirim,03,Padras Negros,,distrito,,Zona do Alto Madeiro,2,OCR (Tesseract por) do Código de Municípios e Distritos de 1960; código do município conferido pela DTB ()
0,11,Porto Velho,01,Porto Velho,,distrito,,Zona do Alto Madeiro,2,OCR (Tesseract por) do Código de Municípios e Distritos de 1960; código do município conferido pela DTB ()
0,11,Porto Velho,03,Abunãô,,distrito,,Zona do Alto Madeiro,2,OCR (Tesseract por) do Código de Municípios e Distritos de 1960; código do município conferido pela DTB ()
0,11,Porto Velho,07,Calamo,,distrito,,Zona do Alto Madeiro,2,OCR (Tesseract por) do Código de Municípios e Distritos de 1960; código do município conferido pela DTB ()
0,11,Porto Velho,09,Jaci Parana,,distrito,,Zona do Alto Madeiro,2,OCR (Tesseract por) do Código de Municípios e Distritos de 1960; código do município conferido pela DTB ()
0,11,Porto Velho,12,Rondônia,,distrito,,Zona do Alto Madeiro,2,OCR (Tesseract por) do Código de Municípios e Distritos de 1960; código do município conferido pela DTB ()
1,11,Porto Velho,01,Porto Velho,,distrito,011,Zona do Alto Purus,3,OCR (Tesseract por) do Código de Municípios e Distritos de 1960; código do município conferido pela DTB ()
1,110,Brasiléia,01,Brasiléia,,distrito,11,,,regra do Código: o distrito 01 é a sede e tem o nome do município (linha não lida pelo OCR)
1,111,Rio Branco,01,Rio Branco,,distrito,11,,,regra do Código: o distrito 01 é a sede e tem o nome do município (linha não lida pelo OCR)
1,111,Rio Branco,05,Pórto Acre,,distrito,011,Zona do Alto Purus,3,OCR (Tesseract por) do Código de Municípios e Distritos de 1960; código do município conferido pela DTB ()
1,112,Sena Madureira,01,Sena Madureira,,distrito,011,Zona do Alto Purus,3,OCR (Tesseract por) do Código de Municípios e Distritos de 1960; código do município conferido pela DTB ()
1,113,Xapuri,01,Xapuri,,distrito,011,Zona do Alto Purus,3,OCR (Tesseract por) do Código de Municípios e Distritos de 1960; código do município conferido pela DTB ()
1,120,Cruzeiro do Sul,01,Cruzeiro do Sul,,distrito,012,Zona do Alto Juruá,3,OCR (Tesseract por) do Código de Municípios e Distritos de 1960; código do município conferido pela DTB ()
