uf60,code_muni_1960,name_muni_1960,code_district_1960,domicilios_na_amostra
14,1510,Acaraú,05,400
21,2161,Caruaru,03,348
74,7524,Joinville,03,272
60,6216,Itu,03,254
14,1519,Fortaleza,03,249
10,1061,Pindaré-Mirim,05,247
74,7409,Tijucas,03,246
19,1925,Mamanguape,07,241
71,7247,Maringá,03,239
40,4328,Resplendor,11,233
91,9185,Dourados,13,231
31,3175,Conceição do Coité,03,229
31,3217,Laje,05,225
21,2183,Surubim,03,224
21,2157,Bom Jardim,03,223
40,4200,Januária,05,223
21,2155,Bezerros,05,219
71,7230,Cruzeiro do Oeste,17,218
14,1449,Iguatu,05,217
51,5171,Baixo Guandu,05,214
31,3251,Cachoeira,05,210
40,4318,Inhapim,03,204
31,3322,Caetité,05,202
40,4251,Jacinto,05,200
40,4306,Caratinga,21,200
40,4537,Itabira,03,198
40,4226,Pirapora,03,195
14,1547,Quixadá,13,193
19,2043,Campina Grande,15,189
40,4328,Resplendor,05,188
21,2122,Igarassu,11,185
81,8107,São Luiz Gonzaga,05,182
21,2253,Ouricuri,11,178
31,3260,Maragogipe,07,177
40,4901,Araguari,03,176
19,2015,Itaporanga,11,170
60,6400,Araraquara,03,170
19,2046,Pocinhos,05,168
81,8134,São Francisco de Paula,19,168
14,1450,Ipaumirim,03,167
21,2211,Carnaíba,03,166
74,7531,Brusque,03,163
14,1515,Camocim,05,158
21,2153,Angelim,05,156
40,4220,Buenópolis,03,151
74,7476,Joaçaba,03,151
4,432,Breves,07,150
21,2113,Barreiros,05,148
71,7223,Campo Mourão,19,148
40,4738,Pequi,03,147
74,7545,Rodeio,05,142
51,5161,Cariacica,03,138
40,4614,Prados,03,137
40,4021,Grão Mogol,03,136
14,1427,Nova Russas,05,135
52,5265,Paraíba do Sul,03,134
40,4726,Luz,03,132
21,2161,Caruaru,05,131
31,3393,Jacobina,13,129
51,5171,Baixo Guandu,03,129
91,9170,Corumbá,03,127
40,4808,Monte Carmelo,05,123
19,2026,Guarabira,03,115
81,8417,Santa Cruz do Sul,17,110
71,7223,Campo Mourão,21,107
51,5140,Muqui,03,104
40,4522,Barão de Cocais,03,96
4,432,Breves,05,93
40,4021,Grão Mogol,05,92
21,2137,Rio Formoso,03,91
40,4808,Monte Carmelo,07,88
14,1515,Camocim,03,85
31,3393,Jacobina,11,84
14,1484,Ipueiras,03,83
40,4718,Estrela do Indaiá,03,83
71,7260,Santo Antônio,05,83
14,1650,Mauriti,05,82
19,2046,Pocinhos,03,77
81,8412,Montenegro,07,77
52,5210,Campos,41,76
14,1650,Mauriti,03,74
21,2174,Panelas,03,74
19,2025,Caiçara,03,71
31,3314,Rio de Contas,03,71
14,1510,Acaraú,03,67
31,3260,Maragogipe,09,66
40,4220,Buenópolis,05,65
21,2211,Carnaíba,05,63
40,4333,São João Evangelista,03,62
40,4489,Volta Grande,03,54
31,3131,Cairu,03,49
19,1971,Catingueira,03,48
40,4328,Resplendor,03,48
81,8271,Viamão,05,48
40,4913,Iturama,03,47
91,9131,Barra do Bugres,03,47
71,7260,Santo Antônio,07,46
40,4213,Francisco Sá,03,45
52,5225,Porciúncula,03,43
60,6742,Dracena,05,42
74,7520,Araquari,03,42
14,1547,Quixadá,11,41
14,1410,Alcântaras,03,40
40,4556,Santa Bárbara,03,39
14,1433,Sobral,05,38
21,2155,Bezerros,03,28
31,3322,Caetité,07,19
40,4530,Conceição do Mato Dentro,11,10
14,1650,Mauriti,07,9
21,2166,Gravatá,X7,1
31,3143,Itororó,11,1
40,4318,Inhapim,02,1
51,5150,Colatina,31,1
54,5,,18,1
54,18,,18,1
54,5411,,02,1
54,5466,,09,1
74,7545,Rodeio,15,1
81,8271,Viamão,13,1
