uf60,nome_uf60,cod60,nome,code_state_2010,code_muni_2010,zona_fisiografica,pop_total,pop_urbana,pop_rural,fonte_pop
0,TerritÛrio de RondÙnia,10,Guajar√°-Mirim,11,1100106,1,19734,8018,11716,AEB
0,TerritÛrio de RondÙnia,11,Porto Velho,11,1100205,1,51049,22824,28225,AEB
1,Estado do Acre,110,Brasil√©ia,12,1200104,11,10535,1852,8683,AEB
1,Estado do Acre,111,Rio Branco,12,1200401,11,47882,18147,29735,AEB
1,Estado do Acre,112,Sena Madureira,12,1200500,11,22486,2196,20290,AEB
1,Estado do Acre,113,Xapuri,12,1200708,11,13382,2000,11382,AEB
1,Estado do Acre,120,Cruzeiro do Sul,12,1200203,12,31639,5766,25873,AEB
1,Estado do Acre,121,Feij√≥,12,1200302,12,14091,1628,12463,AEB
1,Estado do Acre,122,Tarauac√°,12,1200609,12,20193,2409,17784,AEB
2,Estado do Amazonas,210,Barreirinha,13,1300508,21,10632,1454,9178,AEB
2,Estado do Amazonas,211,Itacoatiara,13,1301902,21,25899,9013,16886,AEB
2,Estado do Amazonas,212,Itapiranga,13,1302009,21,2247,477,1770,AEB
2,Estado do Amazonas,213,Mau√©s,13,1302900,21,20021,4161,15860,AEB
2,Estado do Amazonas,214,Nhamund√°,13,1303007,21,10184,287,9897,AEB
2,Estado do Amazonas,215,Nova Olinda do Norte,13,1303106,21,8868,2701,6167,AEB
2,Estado do Amazonas,216,Parintins,13,1303403,21,28080,9068,19012,AEB
2,Estado do Amazonas,217,Silves,13,1304005,21,3329,537,2792,AEB
2,Estado do Amazonas,218,Urucar√°,13,1304302,21,5151,1203,3948,AEB
2,Estado do Amazonas,219,Urucurituba,13,1304401,21,9098,520,8578,AEB
2,Estado do Amazonas,230,Autazes,13,1300300,23,14458,1912,12546,AEB
2,Estado do Amazonas,231,Borba,13,1300805,23,19819,1963,17856,AEB
2,Estado do Amazonas,232,Humait√°,13,1301704,23,14721,1192,13529,AEB
2,Estado do Amazonas,233,Manicor√©,13,1302702,23,18969,2268,16701,AEB
2,Estado do Amazonas,234,Novo Aripuan√£,13,1303304,23,6360,1329,5031,AEB
2,Estado do Amazonas,240,Air√£o,13,1303205,24,5021,266,4755,AEB
2,Estado do Amazonas,241,Barcelos,13,1300409,24,12250,1626,10624,AEB
2,Estado do Amazonas,242,Careiro,13,1301100,24,33585,212,33373,AEB
2,Estado do Amazonas,243,Ilha Grande,13,1303601,24,4111,675,3436,AEB
2,Estado do Amazonas,244,Manaus,13,1302603,24,175343,154040,21303,AEB
2,Estado do Amazonas,245,Uaup√©s,13,1303809,24,13709,1381,12328,AEB
2,Estado do Amazonas,250,Anori,13,1300102,25,9021,3984,5037,AEB
2,Estado do Amazonas,251,Coari,13,1301209,25,23376,5908,17468,AEB
2,Estado do Amazonas,252,Codaj√°s,13,1301308,25,9811,1505,8306,AEB
2,Estado do Amazonas,253,Japur√°,13,1302108,25,3011,70,2941,AEB
2,Estado do Amazonas,254,Manacapuru,13,1302504,25,41981,5053,36928,AEB
2,Estado do Amazonas,255,Mara√£,13,1302801,25,7206,717,6489,AEB
2,Estado do Amazonas,256,Tef√©,13,1304203,25,15830,5308,10522,AEB
