variavel,inicio,fim,rotulo,valores_validos,observacao
UF,1,2,Unidade da Federação,00;01;02;03;04;06;10;12;14;17;19;21;24;25;30;31;40;50;51;52;54;60;71;74;81;91;94;97,""
V116,3,6,Município (Não há rótulos identificadores para os códigos de municípios -- esta amostra não é representativa para essa unidade geográfica),"",""
REC_TYPE,17,17,,2;3,""
V118,18,18,Situação,1;3;5,""
V202,19,19,Sexo,1;2;3;4;5;6,""
V203,20,20,Relação Com Chefe,7;8;9;0;1;2;3;4;5;6,""
V204,21,21,Tipo de Idade - Meses Ou Anos,0;1;5;9,Valores adicionados com base na sintaxe em SPSS - Não presentes no dicionário de código
AGE,22,23,,00;01;02;03;04;05;06;07;08;09;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99,""
V205,24,24,Religião,5;6;7;8;9;0;1;2;3;4;,""
V206,25,25,Cor,4;5;6;7;8;9,""
V207,26,27,Naturalidade,01;02;03;04;05;06;07;08;09;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99,""
V208,28,28,Nacionalidade,9;0;1,""
V209,29,29,"Procedência: Urbana Ou Rural 
(Para pessoas não naturais do município onde habitam)",0;1;2;3,""
V299,30,30,Tempo de Imigração,2;3;4;5;6;7;8;9;0;1,""
V210,31,32,Lugar Residência Anterior,00;01;02;03;04;05;06;07;08;09;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99,""
V211,33,33,Alfabetização,;0;1;2;3;4,""
V212,34,34,Última Série Concluiu,;4;5;6;7;8;9;0;1;2,""
V213,35,35,Grau do Curso,;2;3;4;5;6;1;0,""
V214,36,37,Curso Completo,00;10;11;13;14;15;16;17;19;20;21;22;24;25;26;27;29;33;34;36;38;39;40;41;42;44;45;47;49;50;51;52;53;54;57;60;61;62;63;64;65;66;67;68;70;71;72;73;74;76;78;79;89;99;NA,""
V215,38,38,Estado Conjugal,;6;7;8;9;0;1;2;3;4;5,""
V216,39,40,Ano do Casamento,00;01;02;03;04;05;06;07;08;09;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;NA,""
V217,41,42,Filhos Tidos,00;01;02;03;03;04;05;06;07;07;08;09;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;NA,""
V218,43,44,Filhos Vivos,00;01;02;03;03;04;05;06;07;07;08;09;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;NA,""
V219,45,45,Rendimentos,;5;6;7;8;9;0;1;2;3;4,""
V220,46,46,Atividade não Econômica,;4;5;6;7;8;9;0;1;2;3,""
