int_pos;var_name;x;label;length;decimal_places;fin_pos;col_type;CHAR
1;V001;"";CODIGO DA MICRORREGIÃO;3;;3;i;FALSE
4;V002;"";CODIGO DO MUNICÍPIO;3;;6;i;FALSE
7;V003;"";CODIGO DO DISTRITO;2;;8;i;FALSE
9;V004;"";CODIGO DA SITUAÇÃO DO DOMICILIO;1;;9;i;FALSE
10;V005;"";TOTAL DE PESSOAS DA FAMILIA;2;;11;i;FALSE
12;V006;"";CONDIÇÃO DA FAMÍLIA;1;;12;i;FALSE
13;V007;"";ESPÉCIE DO DOMICÍLIO;1;;13;i;FALSE
14;V008;"";TIPO DO DOMICÍLIO;1;;14;i;FALSE
15;V009;"";CONDIÇÃO DE OCUPAÇÃO;1;;15;i;FALSE
16;V010;"";ALUGUEL OU PRESTAÇÃO MENSAL (SALÁRIO MÍNIMO VIGENTE NA ÉPOCA: CR$36.161,60);1;;16;i;FALSE
17;V011;"";TEMPO DE RESIDÊNCIA EM MESES OU ANOS;1;;17;i;FALSE
18;V012;"";FORMA DE ABASTECIMENTO DE ÁGUA;1;;18;i;FALSE
19;V013;"";TIPO DE INSTALAÇÃO SANITARIA;1;;19;i;FALSE
20;V014;"";POSSUI ILUMINAÇÃO ELÉTRICA;1;;20;i;FALSE
21;V015;"";FOGÃO;1;;21;i;FALSE
22;V016;"";RÁDIO;1;;22;i;FALSE
23;V017;"";POSSUI GELADEIRA;1;;23;i;FALSE
24;V018;"";TELEVISÃO;1;;24;i;FALSE
25;V019;"";AUTOMOVEL;1;;25;i;FALSE
26;V020;"";TOTAL DE CÔMODOS;2;;27;i;FALSE
28;V021;"";NÚMERO DE DORMITÓRIOS;2;;29;i;FALSE
30;V022;"";CODIGO DO INFORMANTE;1;;30;i;FALSE
31;V023;"";SEXO;1;;31;i;FALSE
32;V024;"";CONDIÇÃO DE PRESENÇA (NORMALMENTE SÓ SÃO TABULADOS OS MORADORES DE CÓDIGO 1 E 2);1;;32;i;FALSE
33;V025;"";PARENTESCO OU RELAÇÃO COM O CHEFE DA FAMÍLIA;1;;33;i;FALSE
34;V026;"";TIPO DE IDADE;1;;34;i;FALSE
35;V027;"";IDADE EM MESES OU ANOS;2;;36;i;FALSE
37;V028;"";POSSUI RELIGIÃO;1;;37;i;FALSE
38;V029;"";CODIGO DA NACIONALIDADE;1;;38;i;FALSE
39;V030;"";CODIGO DA NATURALIDADE;2;;40;i;FALSE
41;V031;"";TEMPO DE RESIDÊNCIA NESTA UF;1;;41;i;FALSE
42;V032;"";TEMPO DE RESIDENCIA NESTE MUNICIPIO;1;;42;i;FALSE
43;V033;"";UF QUE RESIDIA ANTES DE MUDAR-SE PARA ESTE MUNICÍPIO;2;;44;i;FALSE
45;V034;"";SITUAÇÃO DA RESIDENCIA NO MUNICÍPIO ONDE MORAVA ANTERIORMENTE;1;;45;i;FALSE
46;V035;"";ALFABETIZAÇÃO;1;;46;i;FALSE
47;V036;"";FREQUENTA A ESCOLA;1;;47;i;FALSE
48;V037;"";ULTIMA SERIE QUE CONCLUIU COM APROVAÇÃO NESTE CURSO QUE FREQUENTOU ANTERIOMENTE;1;;48;i;FALSE
49;V038;"";ULTIMO GRAU CONCLUIDO COM APROVAÇÃO;1;;49;i;FALSE
50;V039;"";ESPECIE DE CURSO CONCLUIDO;2;;51;i;FALSE
52;V040;"";ESTADO CONJUGAL;1;;52;i;FALSE
53;V041;"";RENDIMENTO MEDIO MENSAL;4;;56;i;FALSE
57;V042;"";MUNICÍPIO ONDE TRABALHA OU ESTUDA;1;;57;i;FALSE
58;V043;"";SITUAÇÃO PRINCIPAL DE EMPREGO;1;;58;i;FALSE
59;V044;"";OCUPAÇÃO PRINCIPAL;3;;61;i;FALSE
62;V045;"";CLASSIFICAÇÃO DE ATIVIDADE;3;;64;i;FALSE
65;V046;"";POSIÇÃO NA OCUPAÇÃO;1;;65;i;FALSE
66;V047;"";OCUPAÇÃO QUE EXERCIA NA ULTIMA SEMANA DE REFERENCIA DA PESQUISA (25/08/1970 A 31/08/1970);1;;66;i;FALSE
67;V048;"";TEMPO OU HORA DE TRABALHO NA ULTIMA SEMANA;1;;67;i;FALSE
68;V049;"";HÁ QUANTO TEMPO PROCURA TRABALHO;1;;68;i;FALSE
69;V050;"";QUANTIDADE DE FILHOS NASCIDOS VIVOS ATE A DATA DO CENSO;2;;70;i;FALSE
71;V051;"";QUANTIDADE DE FILHOS NASCIDOS MORTOS;1;;71;i;FALSE
72;V052;"";QUANTIDADE DE FILHOS NASCIDOS NO ANO ANTERIOR AO CENSO;1;;72;i;FALSE
73;V053;"";QUANTIDADE DE FILHOS QUE NASCERAM VIVOS E CONTINUAM VIVOS;2;;74;i;FALSE
75;V054;"";PESO DA PESSOA;2;;76;i;FALSE
