# Codigo de Zonas Fisiograficas, Municipios e Distritos de 1960 -- leitura em folhas de contato
# Formato: uf60 | pagina | codigo do municipio | NOME DO MUNICIPIO | codigo:nome do distrito, ...
21|70|2142|TIMBAUBA|01:Timbaúba,03:Cruanji,05:Livramento do Tiúma
21|70|2143|VICENCIA|01:Vicência,03:Murupe
21|70|2144|VITORIA DE SANTO ANTAO|01:Vitória de Santo Antão,03:Pirituba,05:Pombos
21|70|2150|AGRESTINA|01:Agrestina,03:Barra do Chata,05:Barra do Jardim
21|70|2151|ALAGOINHA|01:Alagoinha,03:Perpétuo Socorro
21|70|2152|ALTINHO|01:Altinho,03:Ibirajuba,05:Ituguaçu
21|70|2153|ANGELIM|01:Angelim,03:Jucati,05:Jupi
21|70|2154|BELO JARDIM|01:Belo Jardim,03:Água Fria,05:Serra do Vento,07:Xucuru
21|68|2126|MACAPARANA|01:Macaparana
21|68|2127|MARAIAL|01:Maraial,03:Jaqueira,05:Sertãozinho de Baixo
21|68|2128|MORENO|01:Moreno
21|68|2129|NAZARE DA MATA|01:Nazaré da Mata,03:Buenos Aires,05:Tracunhaém
21|68|2130|OLINDA|01:Olinda
21|68|2131|PALMARES|01:Palmares,03:Santo Antônio das Trempes
21|68|2132|PAUDALHO|01:Paudalho,03:Lagoa do Itaenga
21|68|2133|PAULISTA|01:Paulista,03:Abreu e Lima,05:Paratibe,07:Praia da Conceição
21|68|2134|QUIPAPA|01:Quipapá,03:Igarapeba,05:Iraci,07:Pau-Ferro
21|68|2135|RECIFE|01:Afogados,03:Beberibe,05:Boa Viagem
31|109|3308|ITUACU|01:Ituaçu,03:Caraibuna,05:Contendas do Sincorá,07:Sussuarana,09:Tanhaçu
31|109|3309|LENCOIS|01:Lençóis,03:Afrânio Peixoto,05:Itacira
31|109|3310|MORRO DO CHAPEU|01:Morro do Chapéu,03:Barro Alto,05:Cafarnaum,07:Camirim,09:Canarana,11:Dias Coelho,13:Duas Barras do Morro,15:Lagoa do Boi,17:Mulungu do Morro,19:Várzea do Céu,21:Ventura
31|109|3311|MUCUGE|01:Mucugê,03:Guiné,05:Ibicoara,07:João Correia
31|109|3312|PALMEIRAS|01:Palmeiras,03:Caeté-Açu
31|109|3313|PIATA|01:Piatã,03:Abaíra,05:Bastião,07:Boninal,09:Cabrália
21|66|2110|AGUA PRETA|01:Água Preta,03:Xexéu
21|66|2111|ALIANCA|01:Aliança,03:Macujê,05:Tupaoca,07:Upatininga
21|66|2112|AMARAJI|01:Amaraji,03:Primavera de Santo Antônio
21|66|2113|BARREIROS|01:Barreiros,03:Carimã,05:São José da Coroa Grande
21|66|2114|BONITO|01:Bonito,03:Bentevi,05:Guabiraba,07:Iuiteporã
21|66|2115|CABO|01:Cabo,03:Juçaral,05:Ponte dos Carvalhos,07:Santo Agostinho
21|66|2116|CARPINA|01:Carpina,03:Lagoa do Carro
21|66|2117|CATENDE|01:Catende
31|101|3280|CASTRO ALVES|01:Castro Alves,03:Argoim,05:Crussaí,07:Paratigi,09:Petim,11:Sítio do Meio,13:Tabuleiro do Castro
31|101|3281|CORACAO DE MARIA|01:Coração de Maria,03:Itacava
31|101|3282|FEIRA DE SANTANA|01:Feira de Santana,03:Anguera,05:Bonfim da Feira,07:Humildes,09:Ipuaçu,11:Jaguara,13:Jaíba,15:Maria Quitéria,17:Pacatu,19:Tiquaruçu
31|101|3283|IACU|01:Iaçu,03:João Amaro,05:Lajedo Alto
31|101|3284|IPIRA|01:Ipirá,03:Pintadas
81|276|8550|ARROIO GRANDE|01:Arroio Grande,03:Santa Isabel do Sul
81|276|8551|CAMAQUA|01:Camaquã,03:Arambaré
81|276|8552|JAGUARAO|01:Jaguarão
81|276|8553|PEDRO OSORIO|01:Pedro Osório,05:Freire
81|276|8554|PELOTAS|01:Pelotas,03:Capão do Leão,05:Cerrito Alegre,07:Dunas,09:Morro Redondo,11:Santa Eulália,13:Santa Silvana,15:Quilombo
81|276|8555|SAO LOURENCO DO SUL|01:São Lourenço do Sul,03:Boqueirão
81|276|8556|TAPES|01:Tapes,03:Cerro Grande,05:Vasconcelos
81|276|8300|ARATIBA|01:Aratiba,03:Barra do Rio Azul
81|276|8301|CAMPINAS DO SUL|01:Campinas do Sul,03:Jacutinga
# (resolvida) p.276 (Rio Grande do Sul). O codigo do municipio saiu partido entre
# as duas faixas de recorte (8550 lido como "0 ... 855") e a sequencia de distritos de
# Pelotas e de Pedro Osorio nao fechou. Precisa de uma folha de uma pagina so.
52|178|5321|MANGARATIBA|01:Mangaratiba,03:Conceição de Jacareí,05:Itacurussá,07:Vila Muriqui
52|178|5322|PARATI|01:Parati,03:Parati Mirim,05:Tarituba
52|178|5220|BOM JESUS DO ITABAPOANA|01:Bom Jesus do Itabapoana,03:Calheiros,05:Carabuçu,07:Pirapitinga do Bom Jesus,09:Rosal
52|178|5221|CAMBUCI|01:Cambuci,03:Funil,05:Monte Verde,07:São João do Paraíso,09:São José de Ubá,11:Três Irmãos
52|178|5222|ITAPERUNA|01:Itaperuna,03:Boaventura,05:Comendador Venâncio,07:Itajara,09:Laje de Muriaé,11:Nossa Senhora da Penha,13:Retiro de Muriaé
51|173|5134|CASTELO|01:Castelo,03:Aracuí,05:Conceição do Castelo
51|173|5135|GUACUI|01:Guaçuí,03:Divisa,05:Imbuí,07:São Pedro de Rates,09:São Tiago
51|173|5136|IUNA|01:Iúna,03:Ibatiba,05:Irupi,07:Pequia
51|173|5137|JERONIMO MONTEIRO|01:Jerônimo Monteiro
51|173|5138|MIMOSO DO SUL|01:Mimoso do Sul,03:Conceição do Muqui,05:Dona América,07:Ponte de Itabapoana,09:Santo Antônio do Muqui,11:São José das Tôrres,13:São Pedro de Itabapoana
51|173|5139|MUNIZ FREIRE|01:Muniz Freire,03:Itaici,05:Piaçu,07:Vieira Machado
51|173|5140|MUQUI|01:Muqui,03:Camará
51|173|5141|SAO JOSE DO CALCADO|01:São José do Calçado,03:Airituba,05:Alto Calçado,07:Bom Jesus do Norte
52|181|5239|SUMIDOURO|01:Sumidouro
52|181|5240|TRAJANO DE MORAIS|01:Trajano de Morais,03:Doutor Elias,05:Sodrelândia,07:Vila da Grama,09:Visconde de Imbé
52|181|5251|NOVA FRIBURGO|01:Nova Friburgo,03:Amparo,05:Campo do Coelho,07:Conselheiro Paulino,09:Lumiar,11:Riograndina
52|181|5252|PETROPOLIS|01:Petrópolis,03:Cascatinha,05:Itaipava,07:Pedro do Rio,09:São José do Rio Prêto
52|181|5253|TEREZOPOLIS|01:Terezópolis,03:Nhunguaçu,05:Paquequer Pequeno
21|74|2180|SAO BENTO DO UNA|01:São Bento do Una,03:Cabanas,05:Cachoeirinha,07:Capoeiras,09:Espírito Santo
21|74|2181|SAO CAITANO|01:São Caitano,03:Tacaimbó,05:Tapiraim
