# Codigo de Zonas Fisiograficas, Municipios e Distritos de 1960 -- ESTADO DO PARANA
# Lido nas folhas de contato. Formato: pagina | codigo do municipio | NOME DO MUNICIPIO | codigo:nome do distrito, ...
240|7100|ANTONINA|01:Antonina,03:Cacatu
240|7101|GUARAQUECABA|01:Guaraqueçaba,03:Ararapira,05:Serra Negra
240|7102|GUARATUBA|01:Guaratuba,03:Garuva
240|7103|MORRETES|01:Morretes,03:Pôrto de Cima
240|7104|PARANAGUA|01:Paranaguá,03:Alexandra,05:Matinhos
240|7110|BOCAIUVA DO SUL|01:Bocaiúva do Sul,03:Paranaí,05:Tunas
240|7111|CERRO AZUL|01:Cêrro Azul,03:São Sebastião,05:Varzeão
240|7112|RIO BRANCO DO SUL|01:Rio Branco do Sul,03:Açungui
241|7130|CASTRO|01:Castro,03:Abapã,05:Socavão
241|7131|PIRAI DO SUL|01:Piraí do Sul
241|7150|ALMIRANTE TAMANDARE|01:Almirante Tamandaré,03:Campo Magro
241|7151|ARAUCARIA|01:Araucária,03:Guajuvira
241|7152|CAMPINA GRANDE DO SUL|01:Campina Grande do Sul
241|7153|CAMPO LARGO|01:Campo Largo,03:Balsa Nova,05:Bateias,07:Ferraria,09:São Luís do Purunã,11:São Silvestre,13:Três Córregos
241|7154|COLOMBO|01:Colombo
241|7155|CURITIBA|01:Curitiba,03:Campo Comprido,05:Santa Felicidade,07:Tatuquara,09:Umbará
241|7156|PIRAQUARA|01:Piraquara
242|7157|RIO NEGRO|01:Rio Negro,03:Campo do Tenente,05:Pangaré,07:Pien
242|7158|SAO JOSE DOS PINHAIS|01:São José dos Pinhais,03:Campo Largo da Roseira,05:Mandirituba
242|7159|TIJUCAS DO SUL|01:Tijucas do Sul,03:Agudos do Sul
242|7140|ARAPOTI|01:Arapoti,03:Calógeras
242|7141|CONTENDA|01:Contenda,03:Areia Branca
242|7142|JAGUARIAIVA|01:Jaguariaíva,03:Bertagnoli
242|7143|LAPA|01:Lapa,03:Água Azul,05:Antônio Olinto,07:Mariental
242|7144|PALMEIRA|01:Palmeira,03:Papagaios Novos
242|7145|PONTA GROSSA|01:Ponta Grossa,03:Guaragi,05:Itaiacoca,07:Uvaia
243|7146|PORTO AMAZONAS|01:Pôrto Amazonas
243|7147|SENGES|01:Sengés
243|7148|TIBAGI|01:Tibagi,03:Alto do Amparo,05:Ventania
243|7170|ABATIA|01:Abatiá
243|7171|CARLOPOLIS|01:Carlópolis
243|7172|CURIUVA|01:Curiúva,03:Sapopema
243|7173|IBAITI|01:Ibaiti,03:Vassoural,05:Vila Guaí
243|7174|JABOTI|01:Jaboti,03:Conselheiro Mayrinck
243|7175|JAPIRA|01:Japira
243|7176|JOAQUIM TAVORA|01:Joaquim Távora,03:Guapirama,05:Joá
243|7177|JUNDIAI DO SUL|01:Jundiaí do Sul
243|7178|PINHALAO|01:Pinhalão,03:Lavrinha
244|7179|QUATIGUA|01:Quatiguá
244|7180|RIBEIRAO DO PINHAL|01:Ribeirão do Pinhal
244|7181|SIQUEIRA CAMPOS|01:Siqueira Campos,03:Marimbondo,05:Salto do Itararé
244|7182|TOMAZINA|01:Tomazina,03:Sapé
244|7183|VENCESLAU BRAS|01:Venceslau Brás,03:Santana do Itararé,05:São José da Boa Vista
244|7190|CANDIDO DE ABREU|01:Cândido de Abreu,03:Teresa Cristina,05:Três Bicos
244|7191|IMBITUVA|01:Imbituva,03:Apiaba,05:Guamiranga
244|7192|IPIRANGA|01:Ipiranga,03:Bitumirim,05:Ivaí
244|7193|ORTIGUEIRA|01:Ortigueira,03:Barreiro,05:Lajeado Bonito,07:Monjolinho,09:Natingui
245|7194|PRUDENTOPOLIS|01:Prudentópolis,03:Jaciaba,05:Patos Velhos
245|7195|RESERVA|01:Reserva,03:José Lacerda
245|7200|CRUZ MACHADO|01:Cruz Machado,03:Pinaré,05:Santana
245|7201|IRATI|01:Irati,03:Gonçalves Júnior,05:Guamirim,07:Itapará
245|7202|MALLET|01:Mallet,03:Dorizon,05:Rio Claro do Sul
245|7203|PAULO FRONTIN|01:Paulo Frontin,03:Vera Guarani
245|7204|REBOUCAS|01:Rebouças
245|7205|RIO AZUL|01:Rio Azul,03:Soares
245|7206|SAO JOAO DO TRIUNFO|01:São João do Triunfo,03:Palmira
245|7207|SAO MATEUS DO SUL|01:São Mateus do Sul
246|7207c|SAO MATEUS DO SUL (cont)|03:Caitá,05:Fluviópolis,07:Lajeado
246|7208|TEIXEIRA SOARES|01:Teixeira Soares,03:Angaí,05:Fernandes Pinheiro,07:Guaraúna
246|7209|UNIAO DA VITORIA|01:União da Vitória,03:Paula Freitas,05:Pôrto Vitória
246|7220|ALTO PARANA|01:Alto Paraná,03:Maristela,05:Santa Maria,07:Sumaré
246|7221|ARARUNA|01:Araruna,03:São Vicente
246|7222|BARRACAO|01:Barracão,03:Bom Jesus do Barracão,05:Salgado Filho,07:São Sebastião da Bela Vista,09:Siqueira Belo
246|7223|CAMPO MOURAO|01:Campo Mourão,03:Barbosa Ferraz,05:Barreirinho d'Oeste,07:Campina da Lagoa,09:Farol,11:Fênix,13:Iretama,15:Juranda,17:Mamburê,19:Quinta do Sol,21:Roncador,23:Ubiratã
