tabela,nivel,regiao,uf60,nome,item,sexo,medida,valor,pagina,fonte,status,nota
32,brasil,,,Brasil,presente,homens,,35059546,80,,ok,
32,brasil,,,Brasil,presente,mulheres,,35131824,80,,deduzido,
32,brasil,,,Brasil,presente,total,,70191370,80,,ok,
32,brasil,,,Brasil,residente,homens,,35055457,80,,ok,
32,brasil,,,Brasil,residente,mulheres,,35015000,80,,uma_ok,
32,brasil,,,Brasil,residente,total,,70070457,80,,ok,
32,regiao,Norte,,Norte,presente,homens,,1315221,80,,ok,
32,regiao,Norte,,Norte,presente,mulheres,,1264221,80,,ok,
32,regiao,Norte,,Norte,presente,total,,2579442,80,,aritmetica,
32,regiao,Norte,,Norte,residente,homens,,1304964,80,,ok,
32,regiao,Norte,,Norte,residente,mulheres,,1256818,80,,ok,
32,regiao,Norte,,Norte,residente,total,,2561782,80,,ok,
32,uf,Norte,0,Rondônia,presente,homens,,39038,80,universo,ok,
32,uf,Norte,0,Rondônia,presente,mulheres,,31194,80,universo,ok,
32,uf,Norte,0,Rondônia,presente,total,,70232,80,universo,ok,
32,uf,Norte,0,Rondônia,residente,homens,,38681,80,universo,aritmetica,
32,uf,Norte,0,Rondônia,residente,mulheres,,31111,80,universo,ok,
32,uf,Norte,0,Rondônia,residente,total,,69792,80,universo,ok,
32,uf,Norte,1,Acre,presente,homens,,84208,80,universo,ok,
32,uf,Norte,1,Acre,presente,mulheres,,74644,80,universo,ok,
32,uf,Norte,1,Acre,presente,total,,158852,80,universo,aritmetica,
32,uf,Norte,1,Acre,residente,homens,,83963,80,universo,ok,
32,uf,Norte,1,Acre,residente,mulheres,,74221,80,universo,ok,
32,uf,Norte,1,Acre,residente,total,,158184,80,universo,deduzido,
32,uf,Norte,2,Amazonas,presente,homens,,367333,80,universo,ok,
32,uf,Norte,2,Amazonas,presente,mulheres,,347441,80,universo,ok,
32,uf,Norte,2,Amazonas,presente,total,,714774,80,universo,ok,
32,uf,Norte,2,Amazonas,residente,homens,,363528,80,universo,ok,
32,uf,Norte,2,Amazonas,residente,mulheres,,344931,80,universo,ok,
32,uf,Norte,2,Amazonas,residente,total,,708459,80,universo,ok,
32,uf,Norte,3,Roraima,presente,homens,,15018,80,universo,ok,
32,uf,Norte,3,Roraima,presente,mulheres,,13853,80,universo,aritmetica,
32,uf,Norte,3,Roraima,presente,total,,28871,80,universo,ok,
32,uf,Norte,3,Roraima,residente,homens,,14647,80,universo,ok,
32,uf,Norte,3,Roraima,residente,mulheres,,13657,80,universo,ok,
32,uf,Norte,3,Roraima,residente,total,,28304,80,universo,aritmetica,
32,uf,Norte,4,Pará,presente,homens,,774626,80,universo,aritmetica,
32,uf,Norte,4,Pará,presente,mulheres,,763567,80,universo,ok,
32,uf,Norte,4,Pará,presente,total,,1538193,80,universo,aritmetica,
32,uf,Norte,4,Pará,residente,homens,,769725,80,universo,ok,
32,uf,Norte,4,Pará,residente,mulheres,,759568,80,universo,ok,
32,uf,Norte,4,Pará,residente,total,,1529293,80,universo,ok,
32,uf,Norte,6,Amapá,presente,homens,,34998,80,universo,ok,
32,uf,Norte,6,Amapá,presente,mulheres,,33522,80,universo,ok,
32,uf,Norte,6,Amapá,presente,total,,68520,80,universo,ok,
32,uf,Norte,6,Amapá,residente,homens,,34420,80,universo,ok,
32,uf,Norte,6,Amapá,residente,mulheres,,33330,80,universo,ok,
32,uf,Norte,6,Amapá,residente,total,,67750,80,universo,ok,
32,regiao,Nordeste,,Nordeste,presente,homens,,7568238,80,,ok,
32,regiao,Nordeste,,Nordeste,presente,mulheres,,7918002,80,,ok,
32,regiao,Nordeste,,Nordeste,presente,total,,15486240,80,,aritmetica,
32,regiao,Nordeste,,Nordeste,residente,homens,,7604828,80,,aritmetica,
32,regiao,Nordeste,,Nordeste,residente,mulheres,,7904349,80,,ok,
32,regiao,Nordeste,,Nordeste,residente,total,,15509177,80,,ok,
32,uf,Nordeste,10,Maranhão,presente,homens,,1256406,80,universo,ok,
32,uf,Nordeste,10,Maranhão,presente,mulheres,,1220965,80,universo,ok,
32,uf,Nordeste,10,Maranhão,presente,total,,2477371,80,universo,aritmetica,
