tipo_linha,variavel,rotulo,codigo,descricao
secao,VARIÁVEIS GEOGRÁFICAS,,,
codigo,code_region,Código da Região de hoje,Valor,
codigo,,,,"Não aplicável - a Serra dos Aimorés era a região em litígio entre Minas Gerais e o Espírito Santo, recenseada como unidade à parte, e não tem correspondente de hoje"
codigo,name_region,Nome da Região de hoje,Texto,
codigo,,,,"Não aplicável - a Serra dos Aimorés era a região em litígio entre Minas Gerais e o Espírito Santo, recenseada como unidade à parte, e não tem correspondente de hoje"
codigo,code_state,"Código da Unidade da Federação de hoje. A Guanabara entra como Rio de Janeiro (33) e Fernando de Noronha como Pernambuco (26), porque é esse o território delas hoje",Valor,
codigo,,,,"Não aplicável - a Serra dos Aimorés era a região em litígio entre Minas Gerais e o Espírito Santo, recenseada como unidade à parte, e não tem correspondente de hoje"
codigo,abbrev_state,Sigla da Unidade da Federação de hoje,Texto,
codigo,,,,"Não aplicável - a Serra dos Aimorés era a região em litígio entre Minas Gerais e o Espírito Santo, recenseada como unidade à parte, e não tem correspondente de hoje"
codigo,name_state,Nome da Unidade da Federação de hoje,Texto,
codigo,,,,"Não aplicável - a Serra dos Aimorés era a região em litígio entre Minas Gerais e o Espírito Santo, recenseada como unidade à parte, e não tem correspondente de hoje"
codigo,code_muni,"Código do Município no padrão de hoje, de sete dígitos, o mesmo de 1991 a 2022. Pelo crosswalk de read_guides/1960_municipios.csv",Valor,
codigo,,,,"Não aplicável - a Serra dos Aimorés era a região em litígio entre Minas Gerais e o Espírito Santo, recenseada como unidade à parte, e não tem correspondente de hoje"
codigo,situacao,"Situação do domicílio, agregando o quadro urbano e o suburbano",urbana,Quadro urbano ou suburbano (V118 = 1 ou 3)
codigo,,,rural,Quadro rural (V118 = 5)
codigo,code_muni_1960,Código do Município na Divisão Territorial Brasileira de 1960,Valor,
codigo,name_muni_1960,Nome do Município em 1960,Texto,
codigo,code_district_1960,"Código do Distrito no Código de Zonas Fisiográficas, Municípios e Distritos de 1960. Na Guanabara não é distrito: é a circunscrição (códigos até 40) ou a favela (41 e acima), que o Código numera numa sequência só dentro do bairro, sob o título ""Circunscrições e favelas""; censobr_favela diz qual é qual",Valor,
codigo,name_district_1960,"Nome do Distrito em 1960; na Guanabara, o da circunscrição ou o da favela, como o IBGE o publicou",Texto,
codigo,,,,"Nome não transcrito: restam 8 pares município-distrito e 561 domicílios, 0,018% do total. Em três deles o arquivo traz um distrito que nenhuma publicação de 1960 lista, e a aritmética mostra ser uma repartição interna da sede; os outros cinco são registros com dano de fita. A relação está em read_guides/1960_distritos_pendentes.csv"
codigo,code_bairro_1960,"Código do Bairro no Código de Zonas Fisiográficas, Municípios e Distritos de 1960, de 5410 a 5591. É a Circunscrição Censitária em que o Tomo XII do Volume I publica a Guanabara: 9 zonas e 83 circunscrições",Valor,
codigo,,,,Não aplicável - as demais unidades da federação
codigo,name_bairro_1960,"Bairro. Só na Guanabara, onde o censo codificou a cidade por bairro em vez de por distrito",Texto,
codigo,,,,Não aplicável - as demais unidades da federação
codigo,name_region_1960,Região em que os volumes do Censo de 1960 publicam os resultados,Norte,
codigo,,,Nordeste,
codigo,,,Leste,
codigo,,,Sul,
codigo,,,Centro-Oeste,
codigo,code_state_1960,Código da Unidade da Federação no padrão do IBGE em 1960: a Guanabara é 34 e Fernando de Noronha é 20,Valor,
codigo,,,,"Não aplicável - a Serra dos Aimorés era a região em litígio entre Minas Gerais e o Espírito Santo, recenseada como unidade à parte, e não tem correspondente de hoje"
codigo,abbrev_state_1960,Sigla da Unidade da Federação em 1960,Texto,
codigo,,,,"Não aplicável - a Serra dos Aimorés era a região em litígio entre Minas Gerais e o Espírito Santo, recenseada como unidade à parte, e não tem correspondente de hoje"
codigo,name_state_1960,"Nome da Unidade da Federação em 1960, como a Série Nacional o publica",Texto,
secao,VARIÁVEIS DE IDENTIFICAÇÃO DO REGISTRO,,,
codigo,censobr_idhousehold,ID único do domicílio no Censo de 1960. Refeito na compilação: UF × 10.000.000 + sequência dentro da unidade da federação,Valor,
codigo,censobr_amostra,"De qual das duas amostras do Censo de 1960 o registro vem. A de 1,27% cobre as onze unidades da federação em que os microdados da de 25% não sobreviveram; nas outras dezessete ela é subamostra daquela, e por isso não entra",25%,"Registro advindo da amostra de 25%, o Boletim de Amostra de um domicílio em cada quatro"
codigo,,,"1,27%","Registro advindo da amostra de 1,27%, a subamostra de uma pasta em vinte sorteada em 1965"
codigo,censobr_tipo_unidade,"Espécie da unidade recenseada, derivada de V101",domicilio particular,"V101 = 1, 2, 4 ou 5"
codigo,,,domicilio coletivo,V101 = 3
codigo,,,boletim individual,"V101 = 9. Morador de domicílio coletivo recenseado pessoa a pessoa pela Lista CD 3, com as variáveis do domicílio em branco por construção. Não ocorre na amostra de 1,27%"
codigo,v001,"Pasta. O lote de trabalho de cerca de 250 Boletins de Amostra, numerado num cadastro nacional, e a unidade sorteada na amostra de 1,27%",Valor,
codigo,v002,Boletim de Amostra dentro da pasta,Valor,
codigo,v003,Identificação: tipo de registro e numeração das pessoas dentro do domicílio,Valor,
codigo,,,,"Informação faltante - Amostra de 1,27%"
codigo,v004,Dígito verificador,Valor,
codigo,,,,"Informação faltante - Amostra de 1,27%"
codigo,v100,Total de pessoas declarado no registro de família,Valor,
codigo,,,,"Informação faltante - Amostra de 1,27%"
secao,CARACTERÍSTICAS DO DOMICÍLIO,,,
