tabela,ordem,coluna,tipo,rotulo,preenchido_25_pct,preenchido_127_pct,nome_antigo,situacao_vs_publicado
households,1,code_region,integer,"Regiao de hoje, do IBGE",100,100,code_region,mantida
households,2,name_region,character,Nome da regiao de hoje,100,100,name_region,mantida
households,3,code_state,numeric,"Unidade da federacao de hoje: Guanabara entra como Rio de Janeiro (33) e Fernando de Noronha como Pernambuco (26); a Serra dos Aimores, repartida entre MG e ES, fica vazia",100,100,code_state,mantida
households,4,abbrev_state,character,Sigla da unidade da federacao de hoje,100,100,abbrev_state,mantida
households,5,name_state,character,Nome da unidade da federacao de hoje,100,100,name_state,mantida
households,6,code_muni,integer,"Municipio no codigo de hoje, sete digitos",100,100,,nova
households,7,code_muni_1960,integer,Municipio no codigo da divisao territorial de 1960,100,100,code_muni_1960,mantida
households,8,name_muni_1960,character,Nome do municipio em 1960,100,100,name_muni,renomeada
households,9,code_district_1960,integer,"Distrito no codigo do Codigo de Zonas Fisiograficas, Municipios e Distritos de 1960",100,100,,nova
households,10,name_district_1960,character,Nome do distrito em 1960,100,100,,nova
households,11,code_bairro_1960,integer,"Bairro no codigo do Codigo de Zonas Fisiograficas de 1960, de 5410 a 5591: e a circunscricao censitaria em que o tomo XII publica a Guanabara",0,100,,nova
households,12,name_bairro_1960,character,"Bairro, so na Guanabara, onde o censo codificou a cidade por bairro",0,100,,nova
households,13,name_region_1960,character,"Regiao em que os volumes de 1960 publicam: Norte, Nordeste, Leste, Sul, Centro-Oeste",100,100,,nova
households,14,code_state_1960,numeric,"Unidade da federacao no codigo do IBGE em 1960: Guanabara 34, Fernando de Noronha 20; a Serra dos Aimores nunca teve codigo",100,100,,nova
households,15,abbrev_state_1960,character,Sigla da unidade da federacao em 1960,100,100,,nova
households,16,name_state_1960,character,"Nome da unidade da federacao em 1960, como a Serie Nacional a publica",100,100,,nova
households,17,censobr_idhousehold,integer,"Identificador do domicilio, unico no pais",100,100,censobr_idhousehold,mantida
households,18,censobr_amostra,character,"De qual das duas amostras o registro vem: 25% ou 1,27%",100,100,censobr_source,renomeada
households,19,censobr_tipo_unidade,character,"Domicilio particular, domicilio coletivo ou boletim individual",100,100,,nova
households,20,v001,integer,"Pasta (número da pasta no cadastro nacional de arquivamento; par, alocado em blocos por UF)",100,100,v001,mantida
households,21,v002,integer,Boletim de Amostra dentro da pasta,100,100,v002,mantida
households,22,v003,integer,Identificação do registro / ordem da pessoa no boletim,100,0,v003,mantida
households,23,v004,integer,Dígito verificador,100,0,v004,mantida
households,24,v100,integer,Total de pessoas do boletim,100,0,v100,mantida
households,25,V101,integer,Espécie do Domicílio,100,99.6,V101,mantida
households,26,V102,integer,Tipo do Domicílio,96.9,98.8,V102,mantida
households,27,V103,integer,Condição de Ocupação,96.8,98.8,V103,mantida
households,28,V104,integer,Aluguel Mensal,96.8,98.8,V104,mantida
households,29,V105,integer,Abastecimento de Água,96.8,98.7,V105,mantida
households,30,V106,integer,Instalação Sanitária,96.8,98.7,V106,mantida
households,31,V107,integer,Fogão,96.8,98.8,V107,mantida
households,32,V108,integer,Iluminação Elétrica,96.8,98.8,V108,mantida
households,33,V109,integer,Rádio,96.8,98.8,V109,mantida
households,34,V110,integer,Geladeira,96.8,98.8,V110,mantida
households,35,V111,integer,Televisão,96.8,98.8,V111,mantida
households,36,V112,integer,Total de Comodos,96.8,98.7,V112,mantida
