dataset,coluna,tipo_atual,tipo_alvo,n,nonnum,frac,lz,mn,mx
1960_households,code_region,int32,int32,3079682,0,0,0,1,5
1960_households,name_region,string,string,3079682,3079682,0,0,,
1960_households,code_state,int32,int32,3079682,0,0,0,11,53
1960_households,abbrev_state,string,string,3079682,3079682,0,0,,
1960_households,name_state,string,string,3079682,3079682,0,0,,
1960_households,code_muni,int32,int32,3079682,0,0,0,1100205,5300108
1960_households,situacao,string,string,3097387,3097387,0,0,,
1960_households,code_muni_1960,int32,int32,3097387,0,0,0,11,9700
1960_households,name_muni_1960,string,string,3097387,3097387,0,0,,
1960_households,code_district_1960,int32,int32,3097387,0,0,0,1,95
1960_households,name_district_1960,string,string,2955083,2954133,0,0,,
1960_households,name_bairro_1960,string,string,31016,8762,0,0,,
1960_households,name_region_1960,string,string,3097387,3097387,0,0,,
1960_households,code_state_1960,int32,int32,3079682,0,0,0,11,53
1960_households,abbrev_state_1960,string,string,3079682,3079682,0,0,,
1960_households,name_state_1960,string,string,3097387,3097387,0,0,,
1960_households,censobr_idhousehold,int32,int32,3097387,0,0,0,1,970014797
1960_households,censobr_amostra,string,string,3097387,3097387,0,0,,
1960_households,censobr_tipo_unidade,string,string,3097387,3097387,0,0,,
1960_households,v001,int32,int32,3097387,0,0,0,14,97076
1960_households,v002,int32,int32,3097387,0,0,0,1,997
1960_households,v003,int32,int32,3066365,0,0,0,0,0
1960_households,v004,int32,int32,3066365,0,0,0,0,9
1960_households,v100,int32,int32,3066365,0,0,0,1,49
1960_households,V101,int32,int32,3097328,0,0,0,1,9
1960_households,V102,int32,int32,2884996,0,0,0,4,7
1960_households,V103,int32,int32,2883738,0,0,0,0,9
1960_households,V104,int32,int32,2883738,0,0,0,0,9
1960_households,V105,int32,int32,2883736,0,0,0,0,9
1960_households,V106,int32,int32,2883735,0,0,0,4,9
1960_households,V107,int32,int32,2883738,0,0,0,0,9
1960_households,V108,int32,int32,2883738,0,0,0,5,7
1960_households,V109,int32,int32,2883737,0,0,0,7,9
1960_households,V110,int32,int32,2883738,0,0,0,0,9
1960_households,V111,int32,int32,2883738,0,0,0,1,3
1960_households,V112,int32,int32,2883737,0,0,0,0,36
1960_households,V113,int32,int32,2883738,0,0,0,0,19
1960_households,UF,int32,int32,3097387,0,0,0,0,97
1960_households,V116,int32,int32,3097387,0,0,0,5,9701
1960_households,V117,int32,int32,3097387,0,0,0,1,95
1960_households,V118,int32,int32,3097387,0,0,0,1,5
1960_households,censobr_n_listadas,int32,int32,3097387,0,0,0,1,49
1960_households,censobr_n_residentes,int32,int32,3097387,0,0,0,0,49
1960_households,censobr_n_presentes,int32,int32,3097387,0,0,0,0,49
1960_households,censobr_n_familias,int32,int32,3097387,0,0,0,1,3
1960_households,censobr_estrato,string,string,3097387,3097387,0,0,,
1960_households,censobr_upa,int32,int32,3097387,0,0,0,14,970014797
1960_households,censobr_fpc,double,double,3097387,0,3097387,0,0.05,0.25
1960_households,censobr_usa,int32,int32,3097387,0,0,0,1,970014797
1960_households,censobr_fpc2,double,double,3097387,0,31022,0,0.25,1
1960_households,censobr_weight,double,double,3097387,0,3093424,0,1.00004777009219,275.25948547325
1960_households,censobr_weight_fator,double,double,3097387,0,3093424,0,0.250011942523048,3.49579546551027
1960_households,censobr_weight_desenho,double,double,3097387,0,31022,0,4,78.740157480315
1960_households,censobr_weight_nivel,string,string,3066365,3066365,0,0,,
1960_households,censobr_weight_ibge,int32,int32,3066365,0,0,0,3,5
1960_households,censobr_weight_1965,double,double,31022,0,31022,0,38.6454307805017,170.097801518793
1960_households,censobr_weight_1965_fator,double,double,31022,0,31000,0,0.490796970912371,2.16024207928867
1960_households,censobr_favela,double,int32,3097387,0,0,0,0,1
1960_households,censobr_muni_corrigido,double,int32,3097387,0,0,0,0,1
1960_households,censobr_uf_corrigida,double,int32,31022,0,0,0,0,1
1960_households,censobr_diagnostico,string,string,31022,31022,0,0,,
1960_households,censobr_variaveis_anuladas,string,string,3097328,4,0,0,,
1960_households,censobr_familia_origem,string,string,31022,31022,0,0,,
1960_households,censobr_convivente_isolada,double,int32,3097387,0,0,0,0,0
1960_households,censobr_dois_chefes,double,int32,31022,0,0,0,0,0
1960_households,censobr_linha,int32,int32,3097387,0,0,0,1,4062698
1960_population,code_region,int32,int32,15046902,0,0,0,1,5
1960_population,name_region,string,string,15046902,15046902,0,0,,
1960_population,code_state,int32,int32,15046902,0,0,0,11,53
1960_population,abbrev_state,string,string,15046902,15046902,0,0,,
1960_population,name_state,string,string,15046902,15046902,0,0,,
1960_population,code_muni,int32,int32,15046902,0,0,0,1100205,5300108
1960_population,situacao,string,string,15145810,15145810,0,0,,
1960_population,code_muni_1960,int32,int32,15145810,0,0,0,11,9700
1960_population,name_muni_1960,string,string,15145810,15145810,0,0,,
1960_population,code_district_1960,int32,int32,15145810,0,0,0,1,95
1960_population,name_district_1960,string,string,14377567,14371778,0,0,,
1960_population,name_bairro_1960,string,string,162030,37122,0,0,,
1960_population,name_region_1960,string,string,15145810,15145810,0,0,,
1960_population,code_state_1960,int32,int32,15046902,0,0,0,11,53
1960_population,abbrev_state_1960,string,string,15046902,15046902,0,0,,
1960_population,name_state_1960,string,string,15145810,15145810,0,0,,
1960_population,censobr_idperson,int32,int32,15145810,0,0,0,1,970034874
1960_population,censobr_idfamily,int32,int32,15145810,0,0,0,1,970014818
